id,related
Ne8,Binford: Teton Sioux (Lakota) [B249]
Ne9,Binford: Arapaho [B246]
Ad6,SCCS: Nyakyusa [SCCS8]
Nf10,
Nf11,
Nf12,
Nf13,
Nf14,
Nf15,
Nf2,
Nf3,SCCS: Omaha [SCCS143]
Nf4,
Nf5,
Ad7,SCCS: Ganda [SCCS12]
Nf6,SCCS: Pawnee [SCCS142]
Nf7,
Nf8,
Nf9,
Ng1,SCCS: Huron [SCCS144]
Ng10,
Ng11,
Ng12,
Ng13,
Ng14,
Ad8,
Ng15,
Ng2,
Ng3,SCCS: Creek [SCCS145]
Ng4,
Ng5,
Ng6,
Ng7,SCCS: Natchez [SCCS146]
Ng8,
Ng9,
Nh1,Binford: Chiricahua Apache [B242]; SCCS: Chiricahua [SCCS148]; WNAI: Warm Springs Chiricahua Apache [WNAI152]; WNAI: Huachuca Chiricahua Apache [WNAI153]
Ad9,
Nh10,WNAI: Isleta [WNAI171]
Nh11,WNAI: San Ildefonso Tewa [WNAI167]
Nh12,WNAI: Santa Ana Keres [WNAI163]
Nh13,WNAI: Acoma [WNAI161]
Nh14,
Nh15,WNAI: Mescalero Apache [WNAI154]
Nh16,WNAI: Jicarilla Apache [WNAI156]
Nh17,WNAI: North Tonto Western Apache [WNAI147]; WNAI: South Tonto Western Apache [WNAI148]; WNAI: San Carlos Western Apache [WNAI149]; WNAI: Cibecue Western Apache [WNAI150]; WNAI: White Mountain Western Apache [WNAI151]
Nh18,WNAI: Hopi [WNAI159]
Nh19,WNAI: Cocopa [WNAI143]
Ae1,
Nh2,
Nh20,WNAI: Kamia [WNAI142]
Nh21,WNAI: Mohave [WNAI140]
Nh22,WNAI: Yuma [WNAI141]
Nh23,
Nh24,Binford: Lipan Apache [B240]; WNAI: Lipan Apache [WNAI155]
Nh25,WNAI: Sia Keres [WNAI162]
Nh26,WNAI: Santa Clara Tewa [WNAI168]
Nh27,WNAI: Santo Domingo Keres [WNAI164]
Nh3,WNAI: Western Navaho [WNAI157]; WNAI: Eastern Navaho [WNAI158]
Ae10,
Nh4,SCCS: Zuni [SCCS149]; WNAI: Zuni [WNAI160]
Nh5,WNAI: Maricopa [WNAI144]
Nh6,WNAI: Taos [WNAI170]
Nh7,WNAI: Cochiti [WNAI165]
Nh8,WNAI: Jemez [WNAI172]
Nh9,
Ni1,
Ni2,SCCS: Papago [SCCS151]; WNAI: Papago [WNAI146]
Ni3,SCCS: Huichol [SCCS152]
Ni4,Binford: Seri [B143]
Ae11,
Ni5,Binford: Chichimec [B191]
Ni6,WNAI: Pima [WNAI145]
Ni7,
Ni8,
Ni9,
Nj1,
Nj10,
Nj11,
Nj12,
Nj13,
Ab12,
Ae12,
Nj14,
Nj2,SCCS: Aztec [SCCS153]
Nj3,SCCS: Popoluca [SCCS154]
Nj4,
Nj5,
Nj6,
Nj7,
Nj8,
Nj9,
