Taxon,ISOCode,GlottoCode
Sika,ski,sika1262
Sikaiana,sky,sika1261
Singhi,sne,baub1235
Siraya,fos,sira1267
Sisingga,baa,baba1268
Soa,ssq,soaa1237
Soboyo,tlv,tali1262
SouthEastBabar,vbb,sout2883
SouthEfate,erk,sout2856
SubanonSiocon,suc,west2557
Sunda,sun,sund1252
Surigaonon,sul,
Tabar,tbf,mand1440
Tagalog,tgl,taga1270
TagbanwaKalamianCoronIsland_D,tbk,cala1258
Taiof,sps,sapo1253
Takuu,nho,taku1257
Talur,ilw,
Tanema,tnx,tane1237
Tanimbili,tbe,tani1255
Tape,mrs,mara1399
TausugJolo_D,tsg,taus1251
TboliTagabili,tbl,tbol1240
Teanu,tkw,tean1237
TelaMasbuar,tvm,tela1241
Teop,tio,teop1238
Tetum,tdt,tetu1246
Teun,tve,teun1241
Thao,ssf,thao1240
Tiang,tbj,tian1237
Tigak,tgc,tiga1245
TimugonMurut,tih,timu1262
Toambaita,mlu,toab1237
Tolo,tlr,tali1259
Tontemboan,tnt,tont1239
Tsou,tsu,tsou1248
Tugun,tzn,tugu1245
TungagTungakLavongai,lcm,tung1290
Tunjung,tjg,tunj1244
Ubir,ubr,ubir1237
UjirNAru,udk,
Ura,uur,urav1235
UveaEast,uve,west2516
UveaWest,uve,west2516
VaeakauTaumako,piv,pile1238
Vano,vnk,vano1237
Varisi,vrs,vari1239
Wanukaka,wnk,wanu1241
Watubela,wah,watu1247
WejewaTanaRighu_D,wew,weje1237
Werinama,bty,bobo1254
WindesiWandamen,wad,wand1267
Wolio,wlo,woli1241
Wuna,mnb,muna1247
Yakan,yka,yaka1277
Yamdena,jmd,yamd1240
