id,name,author,year,reference
sino1245.glotto.trees,Sino-Tibetan (Glottolog 3.0),Glottolog 3.0,2017,"Hammarström, Harald & Forkel, Robert & Haspelmath, Martin. 2017. Glottolog 3.0. Jena: Max Planck Institute for the Science of Human History. http://glottolog.org/"
musk1252.glotto.trees,Muskogean (Glottolog 3.0),Glottolog 3.0,2017,"Hammarström, Harald & Forkel, Robert & Haspelmath, Martin. 2017. Glottolog 3.0. Jena: Max Planck Institute for the Science of Human History. http://glottolog.org/"
misu1242.glotto.trees,Misumalpan (Glottolog 3.0),Glottolog 3.0,2017,"Hammarström, Harald & Forkel, Robert & Haspelmath, Martin. 2017. Glottolog 3.0. Jena: Max Planck Institute for the Science of Human History. http://glottolog.org/"
kwer1242.glotto.trees,Greater Kwerba (Glottolog 3.0),Glottolog 3.0,2017,"Hammarström, Harald & Forkel, Robert & Haspelmath, Martin. 2017. Glottolog 3.0. Jena: Max Planck Institute for the Science of Human History. http://glottolog.org/"
tequ1244.glotto.trees,Tequistlatecan (Glottolog 3.0),Glottolog 3.0,2017,"Hammarström, Harald & Forkel, Robert & Haspelmath, Martin. 2017. Glottolog 3.0. Jena: Max Planck Institute for the Science of Human History. http://glottolog.org/"
baib1250.glotto.trees,Baibai-Fas (Glottolog 3.0),Glottolog 3.0,2017,"Hammarström, Harald & Forkel, Robert & Haspelmath, Martin. 2017. Glottolog 3.0. Jena: Max Planck Institute for the Science of Human History. http://glottolog.org/"
siou1252.glotto.trees,Siouan (Glottolog 3.0),Glottolog 3.0,2017,"Hammarström, Harald & Forkel, Robert & Haspelmath, Martin. 2017. Glottolog 3.0. Jena: Max Planck Institute for the Science of Human History. http://glottolog.org/"
koma1264.glotto.trees,Koman (Glottolog 3.0),Glottolog 3.0,2017,"Hammarström, Harald & Forkel, Robert & Haspelmath, Martin. 2017. Glottolog 3.0. Jena: Max Planck Institute for the Science of Human History. http://glottolog.org/"
mang1423.glotto.trees,Mangarrayi-Maran (Glottolog 3.0),Glottolog 3.0,2017,"Hammarström, Harald & Forkel, Robert & Haspelmath, Martin. 2017. Glottolog 3.0. Jena: Max Planck Institute for the Science of Human History. http://glottolog.org/"
manu1261.glotto.trees,Manubaran (Glottolog 3.0),Glottolog 3.0,2017,"Hammarström, Harald & Forkel, Robert & Haspelmath, Martin. 2017. Glottolog 3.0. Jena: Max Planck Institute for the Science of Human History. http://glottolog.org/"
yang1287.glotto.trees,Yangmanic (Glottolog 3.0),Glottolog 3.0,2017,"Hammarström, Harald & Forkel, Robert & Haspelmath, Martin. 2017. Glottolog 3.0. Jena: Max Planck Institute for the Science of Human History. http://glottolog.org/"
chon1288.glotto.trees,Chonan (Glottolog 3.0),Glottolog 3.0,2017,"Hammarström, Harald & Forkel, Robert & Haspelmath, Martin. 2017. Glottolog 3.0. Jena: Max Planck Institute for the Science of Human History. http://glottolog.org/"
sout1516.glotto.trees,South Bird's Head Family (Glottolog 3.0),Glottolog 3.0,2017,"Hammarström, Harald & Forkel, Robert & Haspelmath, Martin. 2017. Glottolog 3.0. Jena: Max Planck Institute for the Science of Human History. http://glottolog.org/"
jodi1234.glotto.trees,Jodi-Saliban (Glottolog 3.0),Glottolog 3.0,2017,"Hammarström, Harald & Forkel, Robert & Haspelmath, Martin. 2017. Glottolog 3.0. Jena: Max Planck Institute for the Science of Human History. http://glottolog.org/"
pauw1244.glotto.trees,Pauwasi (Glottolog 3.0),Glottolog 3.0,2017,"Hammarström, Harald & Forkel, Robert & Haspelmath, Martin. 2017. Glottolog 3.0. Jena: Max Planck Institute for the Science of Human History. http://glottolog.org/"
japo1237.glotto.trees,Japonic (Glottolog 3.0),Glottolog 3.0,2017,"Hammarström, Harald & Forkel, Robert & Haspelmath, Martin. 2017. Glottolog 3.0. Jena: Max Planck Institute for the Science of Human History. http://glottolog.org/"
mong1329.glotto.trees,Mongolic (Glottolog 3.0),Glottolog 3.0,2017,"Hammarström, Harald & Forkel, Robert & Haspelmath, Martin. 2017. Glottolog 3.0. Jena: Max Planck Institute for the Science of Human History. http://glottolog.org/"
timo1261.glotto.trees,Timor-Alor-Pantar (Glottolog 3.0),Glottolog 3.0,2017,"Hammarström, Harald & Forkel, Robert & Haspelmath, Martin. 2017. Glottolog 3.0. Jena: Max Planck Institute for the Science of Human History. http://glottolog.org/"
