id,xd_id,pref_name_for_society,glottocode,ORIG_name_and_ID_in_this_dataset,alt_names_by_society,main_focal_year,HRAF_name_ID,HRAF_link,origLat,origLong,Lat,Long,Comment,glottocode_comment
WNAI82,xd1133,Luiseño,luis1253,Luiseno (J82),"Payómkawichum, Luiseno",NA,,,33.3,117.3,33.3,-117.3,Original,
WNAI83,xd1132,Cupeño,cupe1243,Cupeno (J83),"Kuupangaxwichem, Cupeno",NA,,,33.2,116.7,33.2,-116.7,Original,
WNAI84,xd1130,Serrano,serr1255,Serrano (J84),,NA,,,34.2,117,34.2,-117,Original,
WNAI85,xd1131,Cahuilla (Desert),cahu1264,Desert Cahuilla (J85),Desert Cahuilla,NA,,,33.5,116.2,33.5,-116.2,Original,"Note, three Cahuilla Dialects (Mountain, Pass, Desert) are recognized by some, but Glottolog does not list any dialects"
WNAI86,xd1439,Cahuilla (Pass),cahu1264,Pass Cahuilla (J86),Pass Cahuilla,NA,,,33.8,116.7,33.8,-116.7,Original,"Note, three Cahuilla Dialects (Mountain, Pass, Desert) are recognized by some, but Glottolog does not list any dialects"
WNAI87,xd1440,Cahuilla (Mountain),cahu1264,Mountain Cahuilla (J87),Mountain Cahuilla,NA,,,33.3,116.5,33.3,-116.5,Original,"Note, three Cahuilla Dialects (Mountain, Pass, Desert) are recognized by some, but Glottolog does not list any dialects"
WNAI88,xd1437,Kumeyaay (Mountain Diegueno),kumi1248,Mountain Diegueno (J88),"Eastern Ipai, Northern Kumeyaay",NA,,,33,117,33,-117,Original,"Note 8Feb2018: Glottocode updated from ipai1239 to kumi1248; Previously ipai1239, updated to  ipai1240 by @kirbykat 27 April 2017"
WNAI89,xd1137,Kumeyaay (Western Diegueno),kumi1248,Western Diegueno (J89),"Western Ipai and Western Tipai, Southern Kumeyaay",NA,,,32.7,117.1,32.7,-117.1,Original,"Note, previously tipa1240 but changed by non-KK DPLACE editor in early 2016 (before 8April2016)"
WNAI90,xd1137,Kumeyaay (Desert Diegueno),kumi1248,Desert Diegueno (J90),"Tipai, Central and Southern Kumeyaay",NA,,,32.7,116,32.7,-116,Original,"Note, previously tipa1240 but changed by non-KK DPLACE editor in early 2016 (before 8April2016)"
WNAI91,xd1134,Kiliwa,kili1268,Kaliwa (Hokan) (J91),"K'olew, Kaliwa (Hokan)",NA,,,31.5,115,31.5,-115,Original,
