91653	dedua	you-pl	mcelhanon-1967	ŋeni	ye	094.1f1b
90701	dedua	to-give	mcelhanon-1967	nen-	(he) gives me	094.1ed7
90967	dedua	to-see	mcelhanon-1967	nen-	(he) sees me	094.1ee0
91632	kate	bone	mcelhanon-1967	siec-	(its) bone	094.1f1a
90512	kate	what	mcelhanon-1967	wemo	what	094.1e4e
92080	kate	wing	mcelhanon-1967	fakec-	(its) wing	
90974	kate	to-see	mcelhanon-1967	honecnu-	(he) sees me	094.1edf
91492	kate	blood	mcelhanon-1967	soc-	(its) blood	094.1f5d
90708	kate	to-give	mcelhanon-1967	nare-	(he) gives me	094.1ed8
91968	kate	lake	mcelhanon-1967	dzâkâŋ	lake	094.1e71
90988	kate	to-sleep	mcelhanon-1967	fo-	(he) sleeps	094.1f39
91772	kate	to-hold	mcelhanon-1967	ro-	(he) holds	094.1e6b
90456	kate	i	mcelhanon-1967	no	I	1746,094.1ea5
91590	kate	eye	mcelhanon-1967	dzâŋe-	(its) eye	094.1eb9
91002	kate	to-eat	mcelhanon-1967	nâ-	(he) eats	094.207f
91688	kate	where	mcelhanon-1967	wena	where	
90722	kate	to-stand	mcelhanon-1967	doma-	(he) stands	094.1df7
91856	kate	to-wash	mcelhanon-1967	dzure-	(he) washes	094.1f34
91016	kate	to-bite	mcelhanon-1967	ki-	(he) bites it	094.1e5e
92206	kate	dull	mcelhanon-1967	mic mâŋ	dull	
90582	kate	to-say	mcelhanon-1967	mu-	(he) says	094.1e91
92276	kate	to-sew	mcelhanon-1967	gbâtâ-	(she) sews	094.1f28
91030	kate	black	mcelhanon-1967	gâgâpâc	black	094.1e8e
92150	kate	to-cry	mcelhanon-1967	kio-	(he) cries	
90736	kate	all	mcelhanon-1967	sasawa	all	094.1e32
92360	kate	to-work	mcelhanon-1967	gie	work	094.1e5b
91044	kate	green	mcelhanon-1967	ârâŋbâric	green	094.1ea3
92374	kate	spear-n	mcelhanon-1967	damu	spear	094.1e1e
90596	kate	moon	mcelhanon-1967	mosa	moon	094.1eed
91618	kate	head	mcelhanon-1967	kpitsec-	(its) head	
91058	kate	white	mcelhanon-1967	kapŋ kapŋ	white	094.1e2e
91870	kate	to-dig	mcelhanon-1967	wise-	(he) digs	094.1eca
91072	kate	red	mcelhanon-1967	bâbâroŋ	red	094.1e79
91716	kate	and	mcelhanon-1967	eme	and	094.1e62
90750	kate	many	mcelhanon-1967	bocyaha	many	094.1df3
91660	kate	you-pl	mcelhanon-1967	ŋoŋe	ye	094.1f1d
91086	kate	yellow	mcelhanon-1967	bâŋeŋne	yellow	094.1e36
92220	kate	brother	mcelhanon-1967	hahac-	(his) brother	094.1e92
90764	kate	night	mcelhanon-1967	ŋafe	night	
