id,name,family_id,family_name,iso_code,language_id,macroarea,lineage,level
adan1251,Adang,timo1261,Timor-Alor-Pantar,adn,adan1251,Papunesia,timo1261/alor1249/alor1250/west2787/stra1245/adan1252,language
adan1252,Adang-Hamap-Kabola,timo1261,Timor-Alor-Pantar,,,,timo1261/alor1249/alor1250/west2787/stra1245,family
adap1234,Adap,book1242,Bookkeeping,adp,adap1234,Eurasia,book1242,language
adar1242,Adarawa,afro1255,Afro-Asiatic,,haus1257,Africa,afro1255/chad1250/west2785/west2714/west2718/haus1257/west2719,dialect
adas1235,Adasen,aust1307,Austronesian,tiu,adas1235,Papunesia,aust1307/mala1545/nort3238/caga1241/iban1268,language
adel1244,Adele,atla1278,Atlantic-Congo,ade,adel1244,Africa,atla1278/volt1241/kwav1236/nato1234/basi1245,language
aden1241,Adeni,afro1255,Afro-Asiatic,,taiz1242,Africa,afro1255/semi1276/west2786/cent2236/arab1394/arab1395/arab1393/taiz1242,dialect
aden1242,'Aden,afro1255,Afro-Asiatic,,jude1267,Eurasia,afro1255/semi1276/west2786/cent2236/arab1394/arab1395/arab1393/jude1267,dialect
ader1239,Aderawa,afro1255,Afro-Asiatic,,haus1257,Africa,afro1255/chad1250/west2785/west2714/west2718/haus1257,dialect
adew1237,Adewada,drav1251,Dravidian,,mari1414,Eurasia,drav1251/sout3133/sout3139/gond1265/sout3234/hill1257/mari1414,dialect
adga1237,Adgawan,aust1307,Austronesian,,agus1235,Papunesia,aust1307/mala1545/grea1284/mano1276/cent2255/east2778/east2742/east2478/agus1235,dialect
adha1237,Adham,aust1307,Austronesian,,rade1240,Eurasia,aust1307/mala1545/mala1536/nort3170/cham1327/cham1330/high1280/rade1241/rade1240,dialect
adha1238,Adhari,indo1319,Indo-European,,adha1238,Eurasia,indo1319/indo1320/iran1269/cent2317/cent2318/nort3177/tati1243,language
adho1241,Adhola-Alur-Luo,nilo1247,Nilotic,,,,nilo1247/west2493/luob1235/sout2831,family
adho1242,Adhola-Luo,nilo1247,Nilotic,,,,nilo1247/west2493/luob1235/sout2831/adho1241,family
adho1243,Adhola,nilo1247,Nilotic,adh,adho1243,Africa,nilo1247/west2493/luob1235/sout2831/adho1241/adho1242,language
adib1240,Adibom,atla1278,Atlantic-Congo,,odua1238,Africa,atla1278/volt1241/benu1247/delt1251/cent2028/abua1243/odua1238,dialect
adid1237,Adi Dravida,drav1251,Dravidian,,tami1289,Eurasia,drav1251/sout3133/sout3138/tami1291/tami1292/tami1293/tami1294/tami1297/tami1298/tami1299/tami1300/tami1289,dialect
adie1238,Adie,atla1278,Atlantic-Congo,,bako1249,Africa,atla1278/volt1241/benu1247/bant1294/sout3152/narr1281/bant1295/basa1283/basa1289/bako1249,dialect
adih1238,Adihup,hata1242,Hatam-Mansim,,hata1243,Papunesia,hata1242/hata1243,dialect
adij1237,Adijaya,aust1307,Austronesian,,kowi1239,Papunesia,aust1307/mala1545/cent2237/cent2245/kowi1239,dialect
adim1238,Adim,atla1278,Atlantic-Congo,,agwa1247,Africa,atla1278/volt1241/benu1247/delt1251/uppe1418/cent2027/nort2790/ubag1244/kohu1243/agwa1247,dialect
adio1239,Adioukrou,atla1278,Atlantic-Congo,adj,adio1239,Africa,atla1278/volt1241/kwav1236/nyoa1234/agne1238,language
adiv1238,Adivasi Wagdi,indo1319,Indo-European,,wagd1238,Eurasia,indo1319/indo1320/indo1321/indo1322/subc1234/bhil1254/wagd1238,dialect
adiv1239,Kotia-Adivasi Oriya-Desiya,indo1319,Indo-European,ort,adiv1239,Eurasia,indo1319/indo1320/indo1321/indo1323/oriy1254/macr1269,language
adiw1235,Adiwasi Garasia,indo1319,Indo-European,gas,adiw1235,Eurasia,indo1319/indo1320/indo1321/indo1322/subc1234/bhil1254/gara1268,language
adiy1237,Adiya,drav1251,Dravidian,,ravu1237,Eurasia,drav1251/sout3133/sout3138/tami1291/tami1292/tami1293/tami1294/tami1297/tami1298/mala1541/ravu1238/ravu1237,dialect
adja1238,Adjabdurah,pama1250,Pama-Nyungan,,naru1238,Australia,pama1250/aran1266/thur1253/core1260/sout2760/naru1238,dialect
adju1239,Adjumani,cent2225,Central Sudanic,,madi1260,Africa,cent2225/moru1252/sout2827/madi1260,dialect
adku1239,Adkuri,indo1319,Indo-European,,halb1244,Eurasia,indo1319/indo1320/indo1321/indo1323/halb1246/halb1244,dialect
admi1239,Admiralty Islands,aust1307,Austronesian,,,,aust1307/mala1545/cent2237/east2712/ocea1241,family
adny1235,Adnyamathanha,pama1250,Pama-Nyungan,adt,adny1235,Australia,pama1250/aran1266/thur1253/core1260/nort2752,language
adom1238,Adoma,atla1278,Atlantic-Congo,,clel1238,Africa,atla1278/volt1241/benu1247/kain1275/cent2242/duka1247/clel1239/clel1238,dialect
adon1237,Adonara,aust1307,Austronesian,adr,adon1237,Papunesia,aust1307/mala1545/cent2237/cent2245/flor1239/sika1265/lama1292/lama1293/nort3216,language
adoo1237,Ado,aust1307,Austronesian,,ledo1238,Papunesia,aust1307/mala1545/cele1242/kail1255/kail1253/nort2898/kail1254/ledo1238,dialect
adoy1238,Adoyo,nilo1247,Nilotic,,anua1242,Africa,nilo1247/west2493/luob1235/nort2814/anua1242,dialect
adug1238,Aduge,book1242,Bookkeeping,adu,adug1238,Africa,book1242,language
adun1238,Adun,atla1278,Atlantic-Congo,,cros1244,Africa,atla1278/volt1241/benu1247/delt1251/uppe1418/cent2027/east2400/mbem1251/cros1244,dialect
adur1234,Adurgari,spee1234,Speech Register,,adur1234,Eurasia,spee1234/indo1335,language
aduu1238,Adu,nort2923,North Halmahera,,taba1263,Papunesia,nort2923/nort2924/main1282/taba1263,dialect
adyg1241,Adyghe,abkh1242,Abkhaz-Adyge,ady,adyg1241,Eurasia,abkh1242/circ1239,language
adze1240,Adzera,aust1307,Austronesian,adz,adze1240,Papunesia,aust1307/mala1545/cent2237/east2712/ocea1241/west2818/nort3206/huon1245/mark1257/uppe1423,language
adze1241,Adzera (Retired),book1242,Bookkeeping,azr,adze1241,,book1242,language
adzh1238,Adzhar,kart1248,Kartvelian,,nucl1302,Eurasia,kart1248/geor1252/geor1253/nucl1302,dialect
aegi1237,Aegina,indo1319,Indo-European,,mode1248,Eurasia,indo1319/grae1234/gree1276/east2798/koin1234/mode1248/sout2605/ioni1242/sout3279,dialect
aeka1244,Aeka,nucl1709,Nuclear Trans New Guinea,aez,aeka1244,Papunesia,nucl1709/bina1276/bina1279/nucl1603/sout2934/orok1268,language
aeky1238,Aekyom,kamu1264,Kamula-Elevala,awi,aeky1238,Papunesia,kamu1264/awin1249,language
aeol1234,Aeolic,indo1319,Indo-European,,anci1242,,indo1319/grae1234/gree1276/east2798/anci1242,dialect
aequ1239,Aequian,indo1319,Indo-European,,umbr1253,,indo1319/ital1284/sabe1249/osca1246/umbr1253,dialect
aerr1238,Aer,indo1319,Indo-European,aeq,aerr1238,Eurasia,indo1319/indo1320/indo1321/indo1322/subc1234/guja1255/guja1256/west2830,language
aewa1238,Aewa (Western Province),anim1240,Anim,,kuni1265,Papunesia,anim1240/mari1437/boaz1244/kuni1265,dialect
afaa1238,Afa,atla1278,Atlantic-Congo,,arig1246,Africa,atla1278/volt1241/benu1247/defo1239/arig1246,dialect
afad1236,Afade,afro1255,Afro-Asiatic,aal,afad1236,Africa,afro1255/chad1250/bium1280/nort3156/koto1267/koto1265/koto1268,language
afar1241,Afar,afro1255,Afro-Asiatic,aar,afar1241,Africa,afro1255/cush1243/east2699/lowl1267/saho1245,language
