id,society_name,lat,long,source,iso
Ag37,Awuna,11,-2,EA,ewe
Ag48,Basari,9,1,EA,bud
Ag5,Birifor,10,-3,EA,biv
Ag30,Bobo,13,-4,EA,bbo
Ag38,Builsa,11,-2,EA,bwu
Ag39,Dagari,11,-3,EA,dga
Ag44,Dagomba,9,0,EA,dag
Ag33,Dian,11,-3,EA,dya
Ag3,Dogon,15,-3,EA,NA
Ag34,Dorosie,11,-4,EA,dos
Ag45,Gurma,12,2,EA,gux
Ag40,Isala,10,-2,EA,sil
Ag49,Kabre,10,2,EA,kbp
Ag13,Kasena,11,-1,EA,xsm
Ag10,Konkomba,10,0,EA,xon
Ag35,Kulango,7,-3,EA,nku
Ag41,Kusasi,11,0,EA,kus
Ag11,Lobi,10,-4,EA,lob
Ag28,Nono,14,-4,EA,bze
Ag46,Manprusi,10,-1,EA,maw
Ag31,Minianka,12,-6,EA,myk
Ag50,Moba,11,1,EA,mfq
Ag47,Mossi Ouagadou,12,-2,EA,mos
Ag12,Nankanse,10,-1,EA,gur
Ag42,Nunuma,12,-3,EA,nnw
Ag32,Senufo,10,-6,EA,NA
Ag51,Somba,11,1,EA,tbz
Ag36,Lowiili,11,-3,EA,NA
Ag52,Tem,11,1,EA,kdh
Ag43,Vagala,8,-2,EA,vag
Ag2,Yatenga,13,-2,EA,NA
Af21,Ijaw,2,6,EA,NA
Af38,Abron,5,-3,EA,abr
Af35,Adangme,6,0,EA,NA
Af23,Afikpo,6,8,EA,ibo
Af27,Afo,8,8,EA,afo
Af12,Akyem,7,-1,EA,aka
Ag4,Tallensi,11,-1,EA,NA
Af39,Anyi,7,-4,EA,any
Af3,Ashanti,7,-2,EA,aka
Ag6,Futajalonke,11,-13,EA,fuf
Af41,Attie,6,-4,EA,ati
Af45,Avikam,5,-5,EA,avi
Af46,Bakwe,5,-7,EA,bjw
Af9,Baule,8,-5,EA,bci
Af7,Bete,6,-7,EA,NA
Af37,Buem,3,1,EA,lef
Af24,Edo,6,6,EA,bin
Af32,Egba,7,3,EA,yor
Af33,Ekiti,8,5,EA,yor
Af36,Ewe,7,1,EA,ewe
Af42,Fanti,6,-1,EA,aka
Af1,Fon,7,2,EA,fon
Af43,Ga,6,0,EA,gaa
Af28,Gbari,10,10,EA,gby
Af10,Ibo,6,7,EA,ibo
Af29,Idoma,7,8,EA,idu
Af34,Ife,7,5,EA,NA
Af30,Igala,7,7,EA,igl
Af13,Igbira,8,7,EA,igb
Af25,Isoko,5,6,EA,iso
Af22,Itsekiri,6,5,EA,its
Af31,Koro,18,8,EA,NA
