ISO,LMP_LAT,LMP_LON
ktn,-9.39302,-64.14675
arr,-10.29822,-61.55843
xat,-7.24438,-64.82835
kav,-8.19252,-70.38236
knt,-7.99430,-71.56669
ktx,-9.51289,-66.30742
kbb,2.17138,-55.91008
kyz,-11.05739,-53.78885
txu,-7.44303,-51.86970
kpn,-11.66300,-61.24600
xor,-5.36695,-70.50491
xra,-7.98641,-47.54969
kqq,-19.15298,-41.14799
xre,-5.30048,-45.97336
xri,-5.94447,-46.74765
kui,-12.31402,-53.22490
xpk,-5.23650,-71.56017
cul,-7.70631,-70.46506
kyr,-3.09704,-52.22970
xwa,-12.67457,-60.89657
lkd,-13.14854,-60.34804
ltn,-13.04203,-60.94982
mpd,-10.45010,-69.71247
mbc,4.35740,-60.29944
mpu,-11.84916,-64.31296
wmd,-13.19869,-60.21897
mpw,1.45516,-59.63452
msp,-11.58332,-53.96666
mzr,-6.63227,-72.40626
mzo,-12.04560,-53.39943
mpq,-4.35807,-70.21129
mbl,-16.94973,-40.79508
mmh,-12.52869,-53.52171
mmv,0.58896,-69.74316
mnd,-12.04835,-61.25225
xmo,-8.66964,-61.38930
myu,-6.98689,-57.87129
mbj,-1.32214,-66.42033
nab,-14.33925,-59.53662
yrl,0.65228,-67.23850
shb,3.57953,-62.48428
nuc,-7.33900,-73.50436
opy,-22.27926,-53.72539
orw,-10.73909,-64.03792
oti,-23.46447,-47.95049
otu,-15.26978,-59.69859
pav,-10.73710,-64.55355
plu,3.30497,-51.42247
kre,-5.71763,-50.11158
pax,-9.08332,-39.66666
paz,-8.99999,-37.01665
ppv,-9.27889,-72.02563
pak,-4.63109,-50.05167
paf,-9.34239,-59.05303
pab,-14.62488,-57.40652
pth,-15.91666,-40.03332
pad,-5.94294,-64.44765
myp,-6.74090,-61.77552
pir,0.55032,-69.50699
pok,0.35800,-69.55971
pog,-7.01666,-37.99999
pyn,-7.52076,-73.03219
prr,-20.73288,-43.60688
pur,-12.18473,-63.15913
rkb,-11.18108,-58.20017
sae,-12.98209,-60.36065
