dataset,soc_id,origLat,origLong,Lat,Long,Comment
EA,Aa4,-22,16,-22,16,Original
EA,Aa5,2,28,2,28,Original
EA,Aa6,-5,36,-5,36,Original
EA,Aa7,-20,24,-20,24,Original
EA,Aa8,-30,23,-30,23,Original
EA,Aa9,-3,35,-3,35,Original
EA,Ab1,-21,16,-21,16,Original
EA,Ab10,-31,30,-31,30,Original
EA,Ab11,-33,28,-32.89,27.91,Revised
EA,Ab12,-29,31,-29,31,Original
EA,Ab13,-24,27,-24,27,Original
EA,Ab14,-24,31,-24,31,Original
EA,Ab15,-25,30,-25,30,Original
EA,Ab16,-25,34,-25,34,Original
EA,Ab17,-20,34,-20,34,Original
EA,Ab18,-19,31,-19,31,Original
EA,Ab19,-17,16,-17,16,Original
EA,Ab2,-27,32,-27,32,Original
EA,Ab20,-15,15,-15,15,Original
EA,Ab21a,-10,14,-10,14,Original
EA,Ab21b,-32,28,-32,28,Original
EA,Ab22,-25,35,-24.76,34.47,Revised
EA,Ab3,-15,23,-15,23,Original
EA,Ab4,-24,32,-24,32,Original
EA,Ab5,-12,16,-12,16,Original
EA,Ab6,-23,30,-23,30,Original
EA,Ab7,-15,14,-15,14,Original
EA,Ab8,-29,28,-29,28,Original
EA,Ab9,-20,28,-20,28,Original
EA,Ac1,-16,27,-16,27,Original
EA,Ac10,-14,33,-14,33,Original
EA,Ac11,-12,22,-12,22,Original
EA,Ac12,-10,21,-10,21,Original
EA,Ac13,-12,34,-12,34,Original
EA,Ac14,-7,15,-7,15,Original
EA,Ac15,-5,18,-5,18,Original
EA,Ac16,-1,12,-1,12,Original
EA,Ac17,-6,18,-6,18,Original
EA,Ac18,-5,14,-5,14,Original
EA,Ac19,-3,15,-3,15,Original
EA,Ac2,-6,20,-6,20,Original
EA,Ac20,-7,17,-7,17,Original
EA,Ac21,-5,19,-5,19,Original
EA,Ac22,-4,20,-4,20,Original
EA,Ac23,-5,21,-5,21,Original
EA,Ac24,-3,18,-3,18,Original
EA,Ac25,-5,18,-5,18,Original
EA,Ac26,-4,18,-4,18,Original
EA,Ac27,-13,23,-13,23,Original
EA,Ac28,-12,18,-12,18,Original
EA,Ac29,-7,19,-7,19,Original
EA,Ac3,-11,31,-11,31,Original
EA,Ac30,-18,28,-18,28,Original
