xd_id,xd_name,iso_6933,N_iso_shared,DisplayGlottocode,DisplayGlottocodeLevel,HighestGlottocode,HighestGlottocodeName,HighestGlottocodeLevel,Ethnologue
xd439,Falasha,ahg,1,qima1242,language,afro1255,Afro-Asiatic,family,Afro-Asiatic
xd729,Akha,ahk,1,akha1245,language,sino1245,Sino-Tibetan,family,Sino-Tibetan
xd698,Aimol,aim,1,aimo1244,language,sino1245,Sino-Tibetan,family,Sino-Tibetan
xd430,Bako,aiw,3,aari1239,language,sout2845,South Omotic,family,Afro-Asiatic
xd432,Shangama,aiw,3,aari1239,language,sout2845,South Omotic,family,Afro-Asiatic
xd433,Ubamer,aiw,3,aari1239,language,sout2845,South Omotic,family,Afro-Asiatic
xd871,Ajie,aji,1,ajie1238,language,aust1307,Austronesian,family,Austronesian
xd592,Jordanians,ajp,1,sout3123,language,afro1255,Afro-Asiatic,family,Afro-Asiatic
xd189,Akyem,aka,3,akye1239,dialect,atla1278,Atlantic-Congo,family,"Niger-Congo, Atlantic-Congo"
xd208,Ashanti,aka,3,asan1239,dialect,atla1278,Atlantic-Congo,family,"Niger-Congo, Atlantic-Congo"
xd222,Fanti,aka,3,fant1241,dialect,atla1278,Atlantic-Congo,family,"Niger-Congo, Atlantic-Congo"
xd741,Bisayan,akl,1,akla1241,language,aust1307,Austronesian,family,Austronesian
xd916,Akuriyo,ako,1,akur1238,language,cari1283,Cariban,family,Cariban
xd216,Buem,akp,1,siwu1238,language,atla1278,Atlantic-Congo,family,"Niger-Congo, Atlantic-Congo"
xd1387,Alacaluf,alc,1,qawa1238,language,kawe1237,Kawesqar,family,Kaweskaran
xd224,Alagya,ald,1,alla1248,language,atla1278,Atlantic-Congo,family,"Niger-Congo, Atlantic-Congo"
xd999,Konaig,ale,2,beri1255,dialect,eski1264,Eskimo-Aleut,family,Eskimo-Aleut
xd1067,Aleut,ale,2,east2533,dialect,eski1264,Eskimo-Aleut,family,Eskimo-Aleut
xd528,Gheg,aln,1,gheg1238,language,indo1319,Indo-European,family,Indo-European
xd964,Alyawara,aly,1,alya1239,language,pama1250,Pama-Nyungan,family,Pama-Nyungan
xd392,Alur,alz,1,alur1250,language,nilo1247,Nilotic,family,"Nilo-Saharan, Eastern Sudanic"
xd1372,Amahuaca,amc,1,amah1246,language,pano1256,Panoan,family,Panoan
xd425,Banna,amf,2,hame1242,language,sout2845,South Omotic,family,Afro-Asiatic
xd428,Hammar,amf,2,hame1242,language,sout2845,South Omotic,family,Afro-Asiatic
xd455,Amhara,amh,1,amha1245,language,afro1255,Afro-Asiatic,family,Afro-Asiatic
xd749,Ami,ami,1,amis1246,language,aust1307,Austronesian,family,Austronesian
xd305,Angas,anc,1,ngas1240,language,afro1255,Afro-Asiatic,family,Afro-Asiatic
xd903,Jarawa,anq,1,jara1245,language,jara1244,Jarawa-Onge,family,South Andamanese
xd375,Anuak,anu,1,anua1242,language,nilo1247,Nilotic,family,"Nilo-Saharan, Eastern Sudanic"
xd218,Anyi,any,1,anyi1245,language,atla1278,Atlantic-Congo,family,"Niger-Congo, Atlantic-Congo"
xd1337,Camaracoto,aoc,2,cama1252,dialect,cari1283,Cariban,family,Cariban
xd1341,Taulipang,aoc,2,taul1252,dialect,cari1283,Cariban,family,Cariban
xd776,Groote Eylandt,aoi,1,anin1240,language,gunw1250,Gunwinyguan,family,Gunwingguan
xd764,Alorese,aol,1,alor1247,language,aust1307,Austronesian,family,Austronesian
xd858,Ulawans,apb,1,saaa1240,language,aust1307,Austronesian,family,Austronesian
xd586,Syrians,apc,3,nort3140,dialect,afro1255,Afro-Asiatic,family,Afro-Asiatic
xd593,Lebanese,apc,3,nort3141,dialect,afro1255,Afro-Asiatic,family,Afro-Asiatic
xd594,Druze,apc,3,sunn1238,dialect,afro1255,Afro-Asiatic,family,Afro-Asiatic
xd481,Hasania,apd,5,khar1296,dialect,afro1255,Afro-Asiatic,family,Afro-Asiatic
xd461,Gimma,apd,5,nort3133,dialect,afro1255,Afro-Asiatic,family,Afro-Asiatic
xd462,Habbania,apd,5,nort3133,dialect,afro1255,Afro-Asiatic,family,Afro-Asiatic
xd503,Kababish,apd,5,nort3133,dialect,afro1255,Afro-Asiatic,family,Afro-Asiatic
xd464,Messiria Humr,apd,5,west2773,dialect,afro1255,Afro-Asiatic,family,Afro-Asiatic
xd1266,Jicarilla,apj,1,jica1244,language,atha1245,Athapaskan-Eyak-Tlingit,family,Eyak-Athabaskan
xd1219,Kiowa Apache,apk,1,kiow1264,language,atha1245,Athapaskan-Eyak-Tlingit,family,Eyak-Athabaskan
xd1275,Lipan,apl,1,lipa1241,language,atha1245,Athapaskan-Eyak-Tlingit,family,Eyak-Athabaskan
xd1259,Chiricahua,apm,2,mesc1238,language,atha1245,Athapaskan-Eyak-Tlingit,family,Eyak-Athabaskan
xd1265,Mescalero,apm,2,mesc1238,language,atha1245,Athapaskan-Eyak-Tlingit,family,Eyak-Athabaskan
xd1415,Apinaye,apn,1,apin1244,language,nucl1710,Nuclear-Macro-Je,family,Jean
xd1267,Western Apache,apw,1,west2615,language,atha1245,Athapaskan-Eyak-Tlingit,family,Eyak-Athabaskan
xd524,Ancient Egypt,areg,1,egyp1246,language,afro1255,Afro-Asiatic,family,Afro-Asiatic
xd1209,Arikara,ari,1,arik1262,language,cadd1255,Caddoan,family,Caddoan
xd1384,Mapuche,arn,1,mapu1245,language,arau1255,Araucanian,family,Mapudungu
xd1228,Arapaho,arp,1,arap1274,language,algi1248,Algic,family,Algic
xd510,Algerians,arq,4,algi1247,dialect,afro1255,Afro-Asiatic,family,Afro-Asiatic
xd494,Chaambra,arq,4,algi1247,dialect,afro1255,Afro-Asiatic,family,Afro-Asiatic
xd515,Nail,arq,4,cons1245,dialect,afro1255,Afro-Asiatic,family,Afro-Asiatic
xd512,Hamyan,arq,4,oran1236,dialect,afro1255,Afro-Asiatic,family,Afro-Asiatic
xd588,Rwala,ars,2,nort3137,dialect,afro1255,Afro-Asiatic,family,Afro-Asiatic
xd591,Mutair,ars,2,sout3119,dialect,afro1255,Afro-Asiatic,family,Afro-Asiatic
xd424,Arbore,arv,1,arbo1245,language,afro1255,Afro-Asiatic,family,Afro-Asiatic
xd1336,Locono,arw,1,araw1276,language,araw1281,Arawakan,family,Maipurean
xd514,Moroccans,ary,2,sout3117,dialect,afro1255,Afro-Asiatic,family,Afro-Asiatic
xd518,Egyptians,arz,1,egyp1253,language,afro1255,Afro-Asiatic,family,Afro-Asiatic
xd105,Pare,asa,1,asut1235,language,atla1278,Atlantic-Congo,family,"Niger-Congo, Atlantic-Congo"
xd1210,Assiniboine,asb,1,assi1247,language,siou1252,Siouan,family,Siouan-Catawban
xd221,Attie,ati,1,atti1239,language,atla1278,Atlantic-Congo,family,"Niger-Congo, Atlantic-Congo"
xd1208,Gros Ventre,ats,1,gros1243,language,algi1248,Algic,family,Algic
xd1135,Atsugewi,atw,1,atsu1245,language,pala1350,Palaihnihan,family,Palaihnihan
xd225,Avikam,avi,1,avik1243,language,atla1278,Atlantic-Congo,family,"Niger-Congo, Atlantic-Congo"
xd1406,Aueto,awe,1,awet1244,language,tupi1275,Tupian,family,Tupian
xd1390,Abipon,axb,1,abip1241,language,guai1249,Guaicuruan,family,Guaykuruan
xd923,Aka,axk,2,bamb1264,dialect,atla1278,Atlantic-Congo,family,"Niger-Congo, Atlantic-Congo"
xd924,Bayaka,axk,2,beka1240,dialect,atla1278,Atlantic-Congo,family,"Niger-Congo, Atlantic-Congo"
xd968,Southern Aranda,axl,1,lowe1436,language,pama1250,Pama-Nyungan,family,Pama-Nyungan
xd519,Sanusi,ayl,1,liby1240,language,afro1255,Afro-Asiatic,family,Afro-Asiatic
xd595,Yemeni,ayn,1,sana1295,language,afro1255,Afro-Asiatic,family,Afro-Asiatic
xd1375,Aymara,ayr,1,cent2142,language,ayma1253,Aymara,family,Aymaran
xd549,Bashkir,bak,1,bash1264,language,turk1311,Turkic,family,Altaic
xd244,Bambara,bam,1,bamb1269,language,mand1469,Mande,family,"Niger-Congo, Mande"
xd172,Bamum,bax,1,bamu1253,language,atla1278,Atlantic-Congo,family,"Niger-Congo, Atlantic-Congo"
xd753,Batak,bbc,1,bata1289,language,aust1307,Austronesian,family,Austronesian
xd651,Minchia,bca,1,cent2004,language,sino1245,Sino-Tibetan,family,Sino-Tibetan
xd243,Baule,bci,1,baou1238,language,atla1278,Atlantic-Congo,family,"Niger-Congo, Atlantic-Congo"
xd477,Bachama,bcy,1,baca1246,language,afro1255,Afro-Asiatic,family,Afro-Asiatic
xd482,Buduma,bdm,1,budu1265,language,afro1255,Afro-Asiatic,family,Afro-Asiatic
xd85,Bende,bdp,1,bend1258,language,atla1278,Atlantic-Congo,family,"Niger-Congo, Atlantic-Congo"
xd166,Kundu,bdu,1,orok1266,language,atla1278,Atlantic-Congo,family,"Niger-Congo, Atlantic-Congo"
xd966,Badjalang,bdy,1,band1339,language,pama1250,Pama-Nyungan,family,Pama-Nyungan
xd1045,Beaver,bea,1,beav1236,language,atha1245,Athapaskan-Eyak-Tlingit,family,Eyak-Athabaskan
xd442,Ababda,bej,4,abab1239,dialect,afro1255,Afro-Asiatic,family,Afro-Asiatic
xd443,Amarar,bej,4,amar1281,dialect,afro1255,Afro-Asiatic,family,Afro-Asiatic
xd453,Bisharin,bej,4,bish1251,dialect,afro1255,Afro-Asiatic,family,Afro-Asiatic
xd452,Hadendowa,bej,4,hade1248,dialect,afro1255,Afro-Asiatic,family,Afro-Asiatic
xd570,Byelorussians,bel,1,bela1254,language,indo1319,Indo-European,family,Indo-European
xd55,Bemba,bem,2,town1238,dialect,atla1278,Atlantic-Congo,family,"Niger-Congo, Atlantic-Congo"
xd664,Bengali,ben,1,beng1280,language,indo1319,Indo-European,family,Indo-European
xd366,Jur,bex,1,jurm1239,language,cent2225,Central Sudanic,family,"Nilo-Saharan, Central Sudanic"
xd78,Bena,bez,1,bena1262,language,atla1278,Atlantic-Congo,family,"Niger-Congo, Atlantic-Congo"
xd390,Kuku,bfa,3,kuku1285,dialect,nilo1247,Nilotic,family,"Nilo-Saharan, Eastern Sudanic"
xd413,Bari,bfa,3,ligo1238,dialect,nilo1247,Nilotic,family,"Nilo-Saharan, Eastern Sudanic"
xd388,Fajulu,bfa,3,poju1239,dialect,nilo1247,Nilotic,family,"Nilo-Saharan, Eastern Sudanic"
xd185,Fut,bfd,1,bafu1246,language,atla1278,Atlantic-Congo,family,"Niger-Congo, Atlantic-Congo"
xd174,Fungom,bfm,1,mmen1238,language,atla1278,Atlantic-Congo,family,"Niger-Congo, Atlantic-Congo"
xd273,Lowiili,bfo,1,malb1235,language,atla1278,Atlantic-Congo,family,"Niger-Congo, Atlantic-Congo"
xd669,Pahari,bfz,1,maha1287,language,indo1319,Indo-European,family,Indo-European
xd597,Marri,bgp,1,east2304,language,indo1319,Indo-European,family,Indo-European
xd683,Hill Bhuiya,bhc,1,biga1238,language,aust1307,Austronesian,family,Austronesian
xd292,Bisa,bib,1,biss1248,language,mand1469,Mande,family,"Niger-Congo, Mande"
