xd_id,iso_6933,N_iso_shared,DialectLanguageGlottocode,DialectLanguageLevel,FamilyGlottocode,FamilyLevel
xd311,krh,1,kura1249,language,atla1278,family
xd229,krn,1,sapo1251,language,atla1278,family
xd668,kru,1,kuru1302,language,drav1251,family
xd227,krw,1,west2488,language,atla1278,family
xd77,ksb,1,sham1280,language,atla1278,family
xd169,ksf,1,bafi1243,language,atla1278,family
xd141,ksv,1,kusu1252,language,atla1278,family
xd800,kts,1,sout2940,language,nucl1709,family
xd1,ktz,1,juho1239,language,kxaa1236,family
xd1398,kui,1,kuik1246,language,cari1283,family
xd579,kum,1,kumy1244,language,turk1311,family
xd279,kus,1,kusa1250,language,atla1278,family
xd757,kvb,1,kubu1239,language,aust1307,family
xd329,kvj,1,psik1239,language,afro1255,family
xd1309,kvn,1,bord1248,language,chib1249,family
xd850,kwd,1,kwai1243,language,aust1307,family
xd811,kwe,1,nucl1595,language,kwer1242,family
xd1090,kwk,1,kwak1269,language,waka1280,family
xd415,kxc,1,kons1243,language,afro1255,family
xd675,kxu,1,kuii1252,language,drav1251,family
xd1310,lac,1,laca1243,language,maya1287,family
xd93,lag,1,lang1320,language,atla1278,family
xd409,laj,1,lang1324,language,nilo1247,family
xd341,lak,1,laka1252,language,atla1278,family
xd142,lal,1,lali1242,language,atla1278,family
xd71,lam,1,lamb1271,language,atla1278,family
xd530,lat,1,lati1261,language,indo1319,family
xd559,lav,1,latv1249,language,indo1319,family
xd748,lbk,1,cent2292,language,aust1307,family
xd716,lbn,1,lame1256,language,aust1305,family
xd951,lbz,1,lard1243,language,tang1340,family
xd52,lch,1,luch1239,language,atla1278,family
xd59,leb,1,lala1264,language,atla1278,family
xd358,led,1,lend1245,language,cent2225,family
xd1396,leg,1,leng1262,language,leng1261,family
xd48,lel,1,lele1265,language,atla1278,family
xd655,lep,1,lepc1244,language,sino1245,family
xd360,les,1,lese1243,language,cent2225,family
xd362,lgg,1,lugb1240,language,cent2225,family
xd652,lic,1,hlai1239,language,taik1256,family
xd1207,lil,1,lill1248,language,sali1255,family
xd573,lit,1,lith1251,language,indo1319,family
xd562,liv,1,livv1244,language,ural1272,family
xd408,lkr,1,pari1256,language,nilo1247,family
xd1227,lkt,1,lako1247,language,siou1252,family
xd870,llx,1,laua1243,language,aust1307,family
xd155,lmi,1,lomb1254,language,cent2225,family
xd179,lmp,1,limb1268,language,atla1278,family
xd864,lmu,1,lame1260,language,aust1307,family
xd1120,lmw,1,lake1258,language,miwo1274,family
xd178,lns,1,lamn1239,language,atla1278,family
xd321,lnu,1,long1389,language,atla1278,family
xd246,lob,1,lobi1245,language,atla1278,family
xd361,log,1,logo1259,language,cent2225,family
xd139,lol,3,ekon1238,dialect,atla1278,family
xd143,lol,3,kond1299,dialect,atla1278,family
xd160,lol,3,nkun1238,dialect,atla1278,family
xd387,lot,1,otuh1238,language,nilo1247,family
xd26,loz,1,lozi1239,language,atla1278,family
xd148,lse,1,luse1252,language,atla1278,family
xd134,lua,1,luba1249,language,atla1278,family
xd182,lub,1,luba1250,language,atla1278,family
xd35,lue,1,luva1239,language,atla1278,family
xd124,lug,1,gand1255,language,atla1278,family
xd1133,lui,1,luis1253,language,utoa1244,family
xd53,lum,1,luim1238,language,atla1278,family
xd72,lun,1,lund1266,language,atla1278,family
xd411,luo,1,luok1236,language,nilo1247,family
xd334,maf,1,mafa1239,language,afro1255,family
xd827,mah,3,rali1241,dialect,aust1307,family
xd834,mah,3,rata1243,dialect,aust1307,family
xd832,mah,3,rata1243,dialect,aust1307,family
xd759,mak,1,maka1311,language,aust1307,family
xd1324,mam,1,mamm1241,language,maya1287,family
xd395,mas,1,masa1300,language,nilo1247,family
xd1357,mav,1,sate1243,language,tupi1275,family
xd284,maw,1,mamp1244,language,atla1278,family
xd1338,mbc,1,macu1259,language,cari1283,family
