xd_id,iso_6933,N_iso_shared,DialectLanguageGlottocode,DialectLanguageLevel,FamilyGlottocode,FamilyLevel,xd_id
xd600,pan,1,panj1256,language,indo1319,family,xd600
xd713,pwo,1,pwow1235,language,sino1245,family,xd713
xd107,reg,1,kara1481,language,atla1278,family,xd107
xd265,sbd,1,sout2844,language,mand1469,family,xd265
xd657,scl,1,shin1264,language,indo1319,family,xd657
xd269,sef,1,ceba1235,language,atla1278,family,xd269
xd706,sez,1,sent1260,language,sino1245,family,xd706
xd758,sge,1,sega1243,language,aust1307,family,xd758
xd137,sng,1,sang1331,language,atla1278,family,xd137
xd1377,tuf,1,cent2150,language,chib1249,family,xd1377
xd28,umb,1,umbu1257,language,atla1278,family,xd28
xd69,vmw,1,makh1264,language,atla1278,family,xd69
xd980,x06,1,sout1439,language,sout1293,family,xd980
xd783,xtz,1,tasm1247,language,nort1442,family,xd783
xd634,ykg,1,nort2745,language,yuka1259,family,xd634
xd1129,yok,2,nort2937,dialect,yoku1255,family,xd1129
xd1123,yok,2,sout2955,dialect,yoku1255,family,xd1123
xd46,zmp,1,mpuo1241,language,atla1278,family,xd46
xd1296,zpu,1,yala1267,language,otom1299,family,xd1296
xd1248,aaq,2,peno1243,dialect,algi1248,family,xd1248
xd1253,aaq,2,peno1243,dialect,algi1248,family,xd1253
xd454,aar,1,afar1241,language,afro1255,family,xd454
xd577,abk,1,abkh1244,language,abkh1242,family,xd577
xd904,sbl,1,boto1242,language,aust1307,family,xd904
xd217,abr,1,abro1238,language,atla1278,family,xd217
xd761,abs,1,ambo1250,language,aust1307,family,xd761
xd791,abt,1,ambu1247,language,nduu1242,family,xd791
xd220,abu,1,abur1243,language,atla1278,family,xd220
xd385,ach,2,dhop1238,dialect,nilo1247,family,xd385
xd398,ach,2,labw1238,dialect,nilo1247,family,xd398
xd587,acm,1,meso1252,language,afro1255,family,xd587
xd1417,acs,1,acro1239,language,nucl1710,family,xd1417
xd1108,acv,1,achu1247,language,pala1350,family,xd1108
xd214,ada,1,adan1247,language,atla1278,family,xd214
xd803,adz,1,adze1240,language,aust1307,family,xd803
xd511,aeb,3,sout3114,dialect,afro1255,family,xd511
xd520,aeb,3,tuni1260,dialect,afro1255,family,xd520
xd516,aec,1,said1239,language,afro1255,family,xd516
xd772,aer,1,east2379,language,pama1250,family,xd772
xd205,afo,1,eloy1241,language,atla1278,family,xd205
xd537,afr,1,afri1274,language,indo1319,family,xd537
xd908,agt,1,cent2084,language,aust1307,family,xd908
xd439,ahg,1,qima1242,language,afro1255,family,xd439
xd729,ahk,1,akha1245,language,sino1245,family,xd729
xd698,aim,1,aimo1244,language,sino1245,family,xd698
xd430,aiw,3,aari1239,language,sout2845,family,xd430
xd432,aiw,3,aari1239,language,sout2845,family,xd432
xd433,aiw,3,aari1239,language,sout2845,family,xd433
xd871,aji,1,ajie1238,language,aust1307,family,xd871
xd592,ajp,1,sout3123,language,afro1255,family,xd592
xd189,aka,3,akye1239,dialect,atla1278,family,xd189
xd208,aka,3,asan1239,dialect,atla1278,family,xd208
xd222,aka,3,fant1241,dialect,atla1278,family,xd222
xd741,akl,1,akla1241,language,aust1307,family,xd741
