ID,STANDARD SOCIETY NAME Binford,ISO693_3,LangNam,ISO_PAST (use with WLMS language GIS data),LangNam_PAST (use with WLMS language GIS data),LangFamily_R,Class2,Class3,ISO_Note,Prelim_BantuTreeName,Prelim_ANTreeName,Prelim_IETreeName,Prelim_UATreeName,Prelim_SemiticTreeName,Possible Bantoid society?,Possible Bantu society (narrow Bantu)?,Possible Austronesian society?,Possible Indo-European society?,Possible Uto-Aztecan society?,Possible Semitic society?
B72,!Kung,knw,Kung-Ekoka,knw,Kung-Ekoka,Southern Africa,Northern,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B73,Nharo,nhr,Naro,nhr,Naro,Southern Africa,Central,Tshu-Khwe,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B74,G/wi,gwj,|Gwi,gwj,Gwi,Southern Africa,Central,Tshu-Khwe,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B75,Kua,tyu,Kua,tyu,Kua,Southern Africa,Central,Tshu-Khwe,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B76,!Ko,nmn,!Xóõ,nmn,Xoo,Southern Africa,Southern,Hua,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B77,/Auni-Khomani,ngh,N|u,ngh,Nu,Southern Africa,Southern,!Kwi,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B78,//Xegwi,xeg,||Xegwi,xeg,Xegwi,Southern Africa,Southern,!Kwi,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B79,/Xam,xam,|Xam,xam,Xam,Southern Africa,Southern,!Kwi,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B82,Kaurareg,mwp,Kala Lagaw Ya,mwp,Kala Lagaw Ya,Pama-Nyungan,Kala Lagaw Ya,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B83,Larikia,lrg,Laragia,lrg,Laragia,Laragiyan,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B84,Gunwinggu,gup,Gunwinggu,gup,Gunwinggu,Gunwingguan,Gunwinggic,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B85,Mirrngadja,djb,Djinba,djb,Djinba,Pama-Nyungan,Yuulngu,Djinang,or djr,NA,NA,NA,NA,NA,0,0,0,0,0,0
B86,Anbarra,bvr,Burarra,bvr,Burarra,Gunwingguan,Burarran,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B87,Gidjingali,bvr,Burarra,bvr,Burarra,Gunwingguan,Burarran,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B88,Murngin,duj,Dhuwal,duj,Dhuwal,Pama-Nyungan,Yuulngu,Dhuwal,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B89,Jeidji,wub,Wunambal,wub,Wunambal,Worrorran,NA,NA,or lby,NA,NA,NA,NA,NA,0,0,0,0,0,0
B90,Wikmunkan,wim,Wik-Mungkan,wim,Wik-Mungkan,Pama-Nyungan,Paman,Middle Pama,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
