Dataset,soc_id,VarID,Code,Comment
EA,Ae48,Elevation,602.069245,
EA,Ae49,Elevation,1315.458197,
EA,Ae5,Elevation,550.3798694,
EA,Ae50,Elevation,833.6158459,
EA,Ae51,Elevation,602.069245,
EA,Ae52,Elevation,746.1952488,
EA,Ae53,Elevation,607.1495024,
EA,Ae54,Elevation,1315.458197,
EA,Ae55,Elevation,1315.458197,
EA,Ae56,Elevation,833.6158459,
EA,Ae57,Elevation,833.6158459,
EA,Ae58,Elevation,837.1393489,
EA,Ae59,Elevation,1315.458197,
EA,Ae6,Elevation,660.4095298,
EA,Ae7,Elevation,548.7342847,
EA,Ae8,Elevation,1564.505008,
EA,Ae9,Elevation,1315.458197,
EA,Af1,Elevation,54.47545042,
EA,Af10,Elevation,114.5523589,
EA,Af11,Elevation,397.6473917,
EA,Af12,Elevation,214.3691107,
EA,Af13,Elevation,230.8853523,
EA,Af14,Elevation,12.98328856,
EA,Af15,Elevation,278.7444309,
EA,Af16,Elevation,279.5832684,
EA,Af17,Elevation,279.5832684,
EA,Af18,Elevation,110.741899,
EA,Af19,Elevation,24.81691375,
EA,Af2,Elevation,605.1464094,
EA,Af20,Elevation,24.81691375,
EA,Af21,Elevation,2.997269512,
EA,Af22,Elevation,9.641880023,
EA,Af23,Elevation,110.741899,
EA,Af24,Elevation,44.7743696,
EA,Af25,Elevation,13.57453059,
EA,Af26,Elevation,170.0440873,
EA,Af27,Elevation,135.9230998,
EA,Af28,Elevation,430.4529195,
EA,Af29,Elevation,96.51022777,
EA,Af3,Elevation,257.2489644,
EA,Af30,Elevation,160.2240247,
EA,Af31,Elevation,771.1316981,
EA,Af32,Elevation,44.13053123,
EA,Af33,Elevation,435.2798372,
EA,Af34,Elevation,134.6137743,
EA,Af35,Elevation,20.67413896,
EA,Af36,Elevation,103.2090478,
EA,Af37,Elevation,158.825575,
EA,Af38,Elevation,245.6843976,
EA,Af39,Elevation,164.2501061,
EA,Af4,Elevation,110.741899,
EA,Af40,Elevation,23.6415511,
EA,Af41,Elevation,79.99082526,
EA,Af42,Elevation,134.5201064,
EA,Af43,Elevation,20.67413896,
EA,Af44,Elevation,20.51314032,
EA,Af45,Elevation,34.89569662,
EA,Af46,Elevation,35.71757979,
EA,Af47,Elevation,208.657832,
EA,Af48,Elevation,26.93435056,
EA,Af49,Elevation,174.6402801,
EA,Af5,Elevation,271.3140258,
EA,Af50,Elevation,135.9230998,
EA,Af51,Elevation,222.8797437,
EA,Af52,Elevation,222.8797437,
EA,Af53,Elevation,310.4839833,
EA,Af54,Elevation,413.8871051,
EA,Af55,Elevation,87.16404757,
EA,Af56,Elevation,270.6636115,
EA,Af57,Elevation,36.43177435,
EA,Af58,Elevation,29.04307705,
EA,Af6,Elevation,293.7841168,
EA,Af7,Elevation,167.4450794,
EA,Af8,Elevation,133.8830245,
EA,Af9,Elevation,232.2197707,
EA,Ag1,Elevation,320.9666568,
EA,Ag10,Elevation,151.3354764,
EA,Ag11,Elevation,331.9896126,
EA,Ag12,Elevation,142.0571763,
EA,Ag13,Elevation,206.4969174,
EA,Ag14,Elevation,41.12174789,
EA,Ag15,Elevation,8.541878118,
EA,Ag16,Elevation,8.541878118,
EA,Ag17,Elevation,41.08237773,
EA,Ag18,Elevation,1.571454188,
EA,Ag19,Elevation,18.00328033,
EA,Ag2,Elevation,318.6750157,
EA,Ag20,Elevation,8.541878118,
EA,Ag21,Elevation,483.3644079,
EA,Ag22,Elevation,149.0483483,
EA,Ag23,Elevation,304.3135383,
EA,Ag24,Elevation,462.4937614,
EA,Ag25,Elevation,458.4501093,
EA,Ag26,Elevation,71.11032957,
EA,Ag27,Elevation,248.9451549,
EA,Ag28,Elevation,338.7176505,
EA,Ag29,Elevation,291.6557212,
EA,Ag3,Elevation,323.8434159,
EA,Ag30,Elevation,272.1333024,
EA,Ag31,Elevation,354.8075314,
EA,Ag32,Elevation,355.5699874,
EA,Ag33,Elevation,279.0173223,
EA,Ag34,Elevation,328.2500556,
EA,Ag35,Elevation,233.6576894,
EA,Ag36,Elevation,279.0173223,
EA,Ag37,Elevation,282.2611753,
EA,Ag38,Elevation,282.2611753,
EA,Ag39,Elevation,279.0173223,
EA,Ag4,Elevation,206.4969174,
EA,Ag40,Elevation,235.3286159,
EA,Ag41,Elevation,228.6743156,
EA,Ag42,Elevation,274.5517933,
EA,Ag43,Elevation,273.2197785,
EA,Ag44,Elevation,167.4038456,
EA,Ag45,Elevation,267.3739891,
EA,Ag46,Elevation,142.0571763,
EA,Ag47,Elevation,322.664208,
EA,Ag48,Elevation,349.9235895,
EA,Ag49,Elevation,348.5398832,
EA,Ag5,Elevation,275.5739469,
EA,Ag50,Elevation,267.8207778,
EA,Ag51,Elevation,267.8207778,
EA,Ag52,Elevation,267.8207778,
EA,Ag53,Elevation,280.1132847,
EA,Ag54,Elevation,364.8339522,
EA,Ag6,Elevation,529.5026721,
EA,Ag7,Elevation,275.5278435,
EA,Ag8,Elevation,122.2527849,
EA,Ag9,Elevation,397.6473917,
EA,Ah1,Elevation,773.0077375,
EA,Ah10,Elevation,958.4210598,
EA,Ah11,Elevation,135.9230998,
EA,Ah12,Elevation,230.8853523,
EA,Ah13,Elevation,321.3390582,
EA,Ah14,Elevation,423.8010195,
EA,Ah15,Elevation,303.9719552,
EA,Ah16,Elevation,327.6860485,
EA,Ah17,Elevation,958.4210598,
EA,Ah18,Elevation,430.4529195,
EA,Ah19,Elevation,773.0077375,
EA,Ah2,Elevation,224.2192229,
EA,Ah20,Elevation,773.0077375,
EA,Ah21,Elevation,958.4210598,
EA,Ah22,Elevation,163.7251714,
EA,Ah23,Elevation,500.1923549,
EA,Ah24,Elevation,746.1952488,
EA,Ah25,Elevation,417.3796657,
EA,Ah26,Elevation,1149.427747,
EA,Ah27,Elevation,1149.427747,
EA,Ah28,Elevation,500.1923549,
EA,Ah29,Elevation,500.1923549,
EA,Ah3,Elevation,280.0847408,
EA,Ah30,Elevation,320.0038962,
EA,Ah31,Elevation,462.8823348,
EA,Ah32,Elevation,354.6696002,
EA,Ah33,Elevation,320.0038962,
EA,Ah34,Elevation,431.1574432,
EA,Ah35,Elevation,320.0038962,
EA,Ah36,Elevation,431.1574432,
EA,Ah37,Elevation,431.1574432,
EA,Ah38,Elevation,451.7284973,
EA,Ah39,Elevation,451.7284973,
EA,Ah4,Elevation,1047.954856,
EA,Ah5,Elevation,526.2988565,
EA,Ah6,Elevation,773.0077375,
EA,Ah7,Elevation,451.7284973,
EA,Ah8,Elevation,837.1393489,
EA,Ah9,Elevation,958.4210598,
EA,Ai1,Elevation,647.0034492,
EA,Ai10,Elevation,714.3983256,
EA,Ai11,Elevation,794.5728206,
EA,Ai12,Elevation,357.173382,
EA,Ai13,Elevation,517.2668253,
EA,Ai14,Elevation,1090.438287,
EA,Ai15,Elevation,357.173382,
EA,Ai16,Elevation,354.6696002,
EA,Ai17,Elevation,357.173382,
EA,Ai18,Elevation,301.7532178,
EA,Ai19,Elevation,318.9180982,
EA,Ai2,Elevation,484.717283,
EA,Ai20,Elevation,362.4566474,
EA,Ai21,Elevation,342.3549651,
EA,Ai22,Elevation,386.5172453,
EA,Ai23,Elevation,385.6055149,
