iso_693-3,id,name,level,status,parent_id,latitude,longitude,iso_code_glottolog,iso_693-3,iso_change_note,wals_codes
,ahkk1235,AHK,family,established,sout2845,,,,,,
aho,ahom1240,Ahom,language,established,sout2743,27.2778,88.464,aho,aho,,
,ahou1236,Ahouic,family,established,nort3188,,,,,,
aht,ahte1237,Ahtena,language,established,nort2940,61.7068,-144.889,aht,aht,,aht
,ahua1238,Ahuatempan Popoloca,dialect,,sant1454,,,,,,
nfd,ahwa1235,Ahwai,language,established,benu1248,9.17635,8.56205,nfd,nfd,,
,ahwa1239,Ahwaz,dialect,,nucl1706,,,,,,
,aial1237,Ai'alu,dialect,,moli1248,,,,,,
,aian1241,Aian,family,established,anna1245,,,,,,
,aibo1237,Aibondeni,dialect,,wand1267,,,,,,
aih,aich1238,Ai-Cham,language,established,maka1300,25.4908,107.844,aih,aih,,
,aiew1238,Aiewomba,dialect,,safe1240,,,,,,
aix,aigh1235,Aighon,language,established,pasi1254,-5.99488,150.272,aix,aix,,
,aigo1239,Aigon,dialect,,aigh1235,,,,,,
tba,aika1237,Aikanã,language,established,,-12.6695,-60.5353,tba,tba,,aik
mwg,aikl1237,Aiklep,language,established,west2530,-6.23575,149.571,mwg,mwg,,
,aiko1237,Aikoa,dialect,,mori1269,,,,,,
aiq,aima1241,Aimaq,language,established,east2745,35.283,59.1756,aiq,aiq,,
,aima1242,Aimara,dialect,,kuna1268,,,,,,
ail,aime1238,Aimele,language,established,bosa1246,-6.68656,142.656,ail,ail,,
aim,aimo1244,Aimol,language,established,aimo1247,24.6437,94.3556,aim,aim,,
,aimo1245,Aimoli,dialect,,adan1251,,,,,,
,aimo1246,Aimore,family,established,nucl1710,,,,,,
,aimo1247,Aimol-Syriem,family,established,oldk1252,,,,,,
aic,ainb1238,Ainbai,language,established,pagi1245,-3.09214,141.149,aic,aic,,
,aine1237,Aine Kuruba,dialect,,nucl1305,,,,,,
ain,ainu1240,Ainu (Japan),language,established,,47.2332,142.874,ain,ain,,ain
aib,ainu1251,Ainu (China),language,established,fare1243,39.2714,76.4209,aib,aib,,ayn
aki,aiom1240,Aiome,language,established,aian1241,-5.13467,144.765,aki,aki,,
,aird1238,Aird Hills,dialect,,kibi1239,,,,,,
,airm1240,Air Mata,dialect,,kupa1239,,,,,,
,airm1241,Airmadidi,dialect,,tons1240,,,,,,
air,airo1242,Airoran,language,established,west1486,-1.8522,138.158,air,air,,
,airr1238,Air,dialect,,tagd1238,,,,,,
,airr1242,Air (Berber),dialect,,taya1257,,,,,,
,airy1239,Airym,dialect,,nort2697,,,,,,
,aita1238,Aita,dialect,,roto1249,,,,,,
aio,aito1238,Aiton,language,established,assa1264,26.5145,92.3169,aio,aio,,
,aitu1237,Aitutaki,dialect,,raro1241,,,,,,
,aiwa1238,Aiwanat,dialect,,cent2128,,,,,,
,aiya1239,Aiyangar,dialect,,tami1289,,,,,,
,aiya1240,Aiyar,dialect,,tami1289,,,,,,
,aiye1241,Aiyegunle,dialect,,west2472,,,,,,
,aiye1242,||'Aiye,dialect,,shua1254,,,,,,
,aizi1248,Aizi,family,established,krua1234,,,,,,
,aizu1241,Aizu,dialect,,sout2953,,,,,,
,aizu1242,Aizuare,dialect,,omag1248,,,,,,
ajg,ajab1235,Aja (Benin),language,established,gbee1241,7.06634,1.64992,ajg,ajg,,ajg
,ajam1240,Ajam,dialect,,cent2117,,,,,,
aja,ajas1235,Aja (Sudan),language,established,kres1240,8.58003,25.6122,aja,aja,,aja
ajw,ajaw1236,Ajawa,language,established,west2712,10.21,9.89205,ajw,ajw,,
,ajee1238,Aje,dialect,,arig1246,,,,,,
aji,ajie1238,Ajië,language,established,houa1234,-21.3029,165.468,aji,aji,,aji
,ajir1238,Ajiri of Hazara,dialect,,guja1253,,,,,,
,ajiw1238,Ajiw,dialect,,mpur1239,,,,,,
,ajra1238,Ajra,dialect,,gunn1250,,,,,,
,ajug1238,Ajugu,dialect,,avok1242,,,,,,
,ajuh1237,Ajuh,dialect,,lawa1257,,,,,,
,ajum1239,Ajumba,dialect,,myen1241,,,,,,
cpc,ajyi1238,Ajyíninka Apurucayali,language,established,ashe1271,-9.82364,-74.6195,cpc,cpc,,
soh,akaa1242,Aka,language,established,akak1254,11.2101,33.6524,soh,soh,,
akm,akab1248,Aka-Bo,language,established,boca1235,12.3629,92.8011,akm,akm,,
abj,akab1249,Aka-Bea,language,established,sout2683,12.3782,92.7818,abj,abj,,akb
,akab1250,Akabafa,dialect,,esee1247,,,,,,
aci,akac1240,Aka-Cari,language,established,boca1235,13.4909,92.9485,aci,aci,,akc
akj,akaj1239,Aka-Jeru,language,established,jeru1239,13.1525,92.9504,akj,akj,,
ack,akak1251,Aka-Kora,language,established,jeru1239,12.0944,92.7466,ack,ack,,
akx,akak1252,Aka-Kede,language,established,midd1323,12.8494,92.8227,akx,akx,,akk
aky,akak1253,Aka-Kol,language,established,juwo1236,12.7325,92.7866,aky,aky,,
,akak1254,Aka-Kelo-Molo,family,established,east2386,,,,,,
,akal1238,Aka Lel,dialect,,nisi1239,,,,,,
,akam1238,Akamkpa-Ejagham,dialect,,west2482,,,,,,
,akan1248,Akani,dialect,,nana1257,,,,,,
aka,akan1250,Akan,language,established,akan1251,6.34756,-1.33254,aka,aka,,akn
,akan1251,Akanic,family,established,cent2262,,,,,,
acl,akar1243,Akar-Bale,language,established,sout2683,12.6663,92.8278,acl,acl,,
,akar1244,Akarre,dialect,,east2379,,,,,,
,akas1241,Akassa,dialect,,sout2774,,,,,,
aks,akas1242,Akaselem,language,established,ntch1241,8.8858,1.37035,aks,aks,,
ake,akaw1239,Akawaio,language,established,kapo1251,6.16277,-60.862,ake,ake,,akw
keu,akeb1238,Akebu,language,established,kebu1246,7.78365,0.77668,keu,keu,,
aik,akee1238,Ake,language,established,eggo1240,8.59543,8.75768,aik,aik,,
tsr,akei1237,Akei,language,established,west2845,-15.6377,166.767,tsr,tsr,,
,aker1238,Akerre,dialect,,west2441,,,,,,
aeu,akeu1235,Akeu,language,established,akha1246,,,aeu,aeu,,
ahk,akha1245,Akha,language,established,akha1246,21.2309,100.964,ahk,ahk,,akh
,akha1246,Akhaic,family,established,haya1251,,,,,,
,akhm1237,Akhmimic,dialect,,uppe1445,,,,,,
,akho1238,Akhoe,dialect,,kung1261,,,,,,
,akht1238,Akhty,dialect,,lezg1247,,,,,,
akv,akhv1239,Akhvakh,language,established,andi1254,42.4003,46.3037,akv,akv,,axv
,akii1238,Aki,dialect,,apal1256,,,,,,
,akim1239,Akimel O'odham,dialect,,toho1245,,,,,,
,akit1239,Akit,dialect,,keri1250,,,,,,
,akit1240,Akita,dialect,,nort2934,,,,,,
sia,akka1237,Akkala Sami,language,established,main1280,67.8625,32.4046,sia,sia,,
akk,akka1240,Akkadian,language,established,east2678,,,akk,akk,,
akq,akkk1240,Ak,language,established,yell1247,-3.57026,141.784,akq,akq,,
,akla1240,Aklan,family,established,west2820,,,,,,
akl,akla1241,Aklanon,language,established,akla1240,11.5543,122.354,akl,akl,,akl
,aknn1239,Akn,dialect,,nucl1235,,,,,,
akt,akol1237,Akolet,language,established,east2763,-6.22711,150.182,akt,akt,,
,akon1238,Akono,dialect,,yoru1245,,,,,,
,akoo1247,Ako,dialect,,akha1245,,,,,,
bss,akoo1248,Akoose,language,established,cent2284,4.9243,9.65522,bss,bss,,
,akoo1249,Ako (Atlantic-Congo),dialect,,ekpe1253,,,,,,
,akoo1250,Ako (Indonesia),dialect,,bada1261,,,,,,
miw,akoy1238,Akoye,language,established,tain1255,-7.66067,145.669,miw,miw,,
akf,akpa1238,Akpa,language,established,yaty1238,7.32586,8.01629,akf,akf,,
,akpa1243,Akpafu,dialect,,siwu1238,,,,,,
,akpe1247,Akpe,dialect,,anii1245,,,,,,
ibe,akpe1248,Akpes,language,established,akpe1249,7.50256,5.95559,ibe,ibe,,
,akpe1249,Akpes-Edoid,family,established,benu1247,,,,,,
,akpo1242,Akpo-Mgbu-Tolu,dialect,,ikwe1242,,,,,,
,akpo1243,Akpondu,language,established,alum1251,9.235232,8.545454,,,,
,akre1239,Akre,dialect,,nort2641,,,,,,
afi,akru1241,Akrukay,language,established,itut1234,-4.88687,144.821,afi,afi,,
,aksa1237,Aksanás,dialect,,qawa1238,,,,,,
,aksu1238,Aksu,dialect,,uigh1240,,,,,,
,akto1238,Akto Türkmen,dialect,,uigh1240,,,,,,
,akua1239,Akuapem,dialect,,akan1250,,,,,,
ayk,akuk1235,Akuku,language,established,okpe1251,7.40354,6.34264,ayk,ayk,,
aku,akum1238,Akum,language,established,akum1239,6.85716,9.96261,aku,aku,,
,akum1239,Akum-Beezen,family,established,yuku1244,,,,,,
,akun1239,Akunnu,dialect,,akpe1248,,,,,,
aqz,akun1241,Akuntsu,language,established,akun1243,-12.8322,-60.9716,aqz,aqz,,
,akun1243,Akuntsu-Mekens,family,established,nucl1716,,,,,,
ako,akur1238,Akurio,language,established,tiri1260,3.19607,-55.6294,ako,ako,,
,akus1238,Akusha,dialect,,darg1241,,,,,,
,akwa1247,Akwa (Nigeria),dialect,,pong1250,,,,,,
akw,akwa1248,Akwa,language,established,koyo1244,-0.39897,15.4623,akw,akw,,
,akye1239,Akyem Bosome,dialect,,akan1250,,,,,,
akz,alab1237,Alabama,language,established,alab1247,30.7674,-94.6285,akz,akz,,abm
dul,alab1246,Alabat Island Agta,language,established,alab1255,14.1217,122.014,dul,dul,,
,alab1247,Alabaman-Koasati,family,established,musk1252,,,,,,
alw,alab1254,Alaba-K'abeena,language,established,kamb1318,7.39014,38.1732,alw,alw,,
,alab1255,Alabat-Manide Agta,family,established,cent2246,,,,,,
,alac1239,Alacalufe-Austral,language,established,kawe1237,-54.788017,-70.140381,,,,
,alac1240,Alacalufe-Central,language,established,nort1506,-53.435719,-71.04126,,,,
mim,alac1244,Alacatlatzala Mixtec,language,established,guer1245,17.4944,-98.4674,mim,mim,,mxl
,alad1239,Alada,dialect,,gunn1250,,,,,,
ala,alag1242,Alago,language,established,nucl1732,8.34986,8.52085,ala,ala,,
,alag1243,Alag-Bako,dialect,,iray1237,,,,,,
wbj,alag1248,Alagwa,language,established,nort3164,-4.64148,35.7231,wbj,wbj,,agw
,alag1249,Alaguilac,language,spurious,book1242,,,,,,
,alak1252,Alakong,dialect,,bahn1262,,,,,,
alk,alak1253,Alak,language,established,bahn1264,15.5565,106.597,alk,alk,,
,alak1254,Alakaman,dialect,,abui1241,,,,,,
amp,alam1246,Alamblak,language,established,east2496,-4.66307,143.316,amp,amp,,ala
,alan1247,Åland Islands Swedish,dialect,,swed1254,,,,,,
,alan1248,Alangua,dialect,,anyi1245,,,,,,
alj,alan1249,Alangan,language,established,nort2873,13.0982,121.022,alj,alj,,
,alan1250,Alango,dialect,,sian1257,,,,,,
