"soc_id","Latitude","Longitude","OldLat","OldLong"
"Na27",58,-131,58,-131
"Na26",62.1,-144.1,62,-144
"Nb35",41,-123,41,-123
"Na44",62,-76,62,-76
"Nb38",40,-124,40,-124
"Na45",52,72,52,72
"Nb6",42,-124,42,-124
"Nb31",42,-124,42,-124
"Nh1",31,-108,31,-108
"Nh16",36,-104,36,-104
"Ne2",36,-99,36,-99
"Nh24",30,-100,30,-100
"Nh15",33,-103,33,-103
"Nh3",37,-110,37,-110
"Nh17",34,-110,34,-110
"Nb23",52,-128,52,-128
"Na7",53,-83,53,-83
"Nb3",51,-128,51,-128
"Nb24",48,-125,48,-125
"Nb11",49.1,-125.7,49,-126
"Nc12",40,-121,40,-121
"Nc13",39,-121,39,-121
"Nc21",38,-123,38,-123
"Nc5",38,-120,38,-120
"Nc1",39,-122,39,-122
"Nc22",39,-122,39,-122
"Nc14",41,-122,41,-122
"Nc24",36,-120,36,-120
"Nb10",53,-126,53,-126
"Nc3",36,-120,36,-120
"Nb19",46,-124,46,-124
"Nd18",46,-121,46,-121
"Nb30",42,-123,42,-123
"Nc8",43,-122,43,-122
"Nc9",42,-122,42,-122
"Nd17",46,-122,46,-122
"Nd20",45,-115,45,-115
"Nd1",45,-121,45,-121
"Nd19",46,-119,46,-119
"Nb28",44,-124,44,-124
"Nb29",44,-124,44,-124
"Ng12",33,-88,33,-88
"Ng3",33,-84,33,-84
"Ng7",32,-91,32,-91
"Nb12",51,-125,51,-125
"Ng8",27,-82,27,-82
"Nb27",49,-122,49,-122
"Nb37",40,-123,40,-123
"Nc20",38,-123,38,-123
"Nc7",40,-123,40,-123
"Nb9",52,-127,52,-127
"Nd14",48,-117,48,-117
"Nb14",50,-125,50,-125
"Nb26",49,-123,49,-123
"Nd12",46,-113,46,-113
"Nd13",49,-117,49,-117
"Nb39",40,-124,40,-124
"Nb16",48,-123,48,-123
"Nd9",50,-125,50,-125
"Nb15",49,-123,49,-123
"Nb17",47,-122,47,-122
"Nb25",47,-124,47,-124
"Nd4",48,-119,48,-119
"Nd11",51,-120,51,-120
"Nb8",54,-129,54,-129
"Nb13",50,-123,50,-123
"Nc15",39,-124,39,-124
"Nd10",50,-122,50,-122
"Nb20",45,-124,45,-124
"Nb2",48,-123,48,-123
"Nd16",48,-121,48,-121
"Ne9",40,-103,40,-103
"Ne12",51,-112,51,-112
"Ne13",51,-115,51,-115
"Nc16",39,-123,39,-123
"Ne5",39,-104,39,-104
"Na36",49,-96,49,-96
"Nc25",36,-119,36,-119
"Ng6",41,-75,41,-75
"Na31",51,-85,51,-85
"Na39",46,-85,46,-85
"Nd15",49,-120,49,-120
"Ne1",49,-109,49,-109
"Nd65",36,-114,36,-114
"Nf9",46,-88,46,-88
"Nf4",40,-86,40,-86
"Na41",47,-65,47,-65
"Nd67",34,-114,34,-114
"Na32",48,-72,48,-72
"Na5",58,-70,58,-70
"Nd8",52,-122,52,-122
"Na33",52,-98,52,-98
"Nf1",52,-94,52,-94
"Na40",46,-82,46,-82
"Ne14",51,-100,51,-100
"Ng4",45,-68,45,-68
"Ne18",49,-115,49,-115
"Ne19",45,-94,45,-94
"Na42",44,-85,44,-85
"Na37",49,-92,49,-92
"Nf13",37,-85,37,-85
"Nb36",40,-124,40,-124
"Nb4",41,-124,41,-124
"Nb18",48,-125,48,-125
"Ne11",48,-106,48,-106
"Ng9",35,-80,35,-80
"Ne4",45,-108,45,-108
"Ne15",47,-101,47,-101
"Nf10",41,-95,41,-95
"Ne6",47,-101,47,-101
"Nf3",41,-96,41,-96
"Nf11",40,-95,40,-95
"Nf12",43,-99,43,-99
"Ne20",45,-94,45,-94
"Ne8",43,-103,43,-103
"Nf2",44,-88,44,-88
"Ne10",46,-101,46,-101
"Nf14",33,-93,33,-93
"Nf7",45,-95,45,-95
"Nf6",42,-100,42,-100
"Nf5",34,-98,34,-98
"Ng5",36,-83,36,-83
"Ng1",44.1,-78,44,-78
"Ng10",43,-77,43,-77
"Nh13",35,-108,35,-108
"Nh7",36,-106,36,-106
"Nh14",35,-107,35,-107
"Nh12",35,-107,35,-107
"Nf8",31,-95,31,-95
"Nb33",41,-123,41,-123
"Nc26",36,-121,36,-121
"Nb34",42,-123,42,-123
"Nc18",39,-123,39,-123
"Nc17",39,-123,39,-123
"Nc19",38,-123,38,-123
"Nc10",41,-121,41,-121
"Nc4",41,-121,41,-121
"Nb32",41,-122,41,-122
"Nh19",32,-115,32,-115
"Nc6",32,-116,32,-116
"Nd3",36,-112,36,-112
"Ng2",27,-81,27,-81
"Nh23",34,-111,34,-111
"Nc34",31,-115,31,-115
"Nh5",33,-113,33,-113
"Nh21",35,-114,35,-114
"Nh20",33,-115,33,-115
"Nh25",36,-107,36,-107
"Nd66",35,-112,35,-112
"Nh22",33,-114,33,-114
"Nc11",41,-122,41,-122
"Nj2",19,-99,19,-99
"Ni3",23,-104,23,-104
"Nj9",19,-98,19,-98
"Ni2",31,-112,31,-112
"Ni6",31,-111,31,-111
"Ni1",28,-107,28,-107
"Ni7",28,-110,28,-110
"Nd46",44,-112,44,-112
"Nd49",37,-110,37,-110
"Nd23",42,-118,42,-118
"Nd63",43,-112,43,-112
"Nd33",37,-116,37,-116
"Nd45",43,-112,43,-112
"Nc31",33,-116,33,-116
"Nd54",35,-115,35,-115
"Ne3",33,-100,33,-100
"Nc32",33,-117,33,-117
"Nd30",37,-118,37,-118
"Nd42",41,-116,41,-116
"Nd38",39,-115,39,-115
"Nc29",34,-118,34,-118
"Nd48",40,-114,40,-114
"Nd37",39,-116,39,-116
"Nh18",36,-111,36,-111
"Nd5",42,-112,42,-112
"Nd53",36,-113,36,-113
"Nc27",35,-118,35,-118
"Nd24",42,-120,42,-120
"Nd31",36,-118,36,-118
"Nd27",40,-119,40,-119
"Nd55",36,-115,36,-115
"Nd34",37,-117,37,-117
"Nc33",33,-117,33,-117
"Nd35",39,-117,39,-117
"Nd60",37,-105,37,-105
"Nd59",39,-112,39,-112
"Nd51",36,-115,36,-115
"Nc23",37,-119,37,-119
"Nd57",39,-113,39,-113
"Nd32",36,-117,36,-117
"Nd50",38,-112,38,-112
"Nd56",36,-111,36,-111
"Nd25",41,-118,41,-118
"Nc30",34,-117,34,-117
"Nd52",36,-117,36,-117
"Nd2",38,-109,38,-109
"Nd39",40,-115,40,-115
"Nd21",43,-117,43,-117
"Nd61",40,-105,40,-105
"Nd28",40,-118,40,-118
"Nd40",40,-113,40,-113
"Nc2",39,-118,39,-118
"Nd47",44,-111,44,-111
"Nd29",37,-118,37,-118
"Nd58",40,-112,40,-112
"Nd62",39,-107,39,-107
"Nd22",43,-119,43,-119
"Nd41",41,-116,41,-116
"Nd26",41,-120,41,-120
"Nd43",41,-117,41,-117
"Nd64",43,-109,43,-109
"Nd36",39,-117,39,-117
"Nd44",42,-115,42,-115
"Nh2",36,-111,36,-111
"Nh11",36,-106,36,-106
"Nh10",35,-107,35,-107
"Nh9",36,-106,36,-106
"Nh6",37,-106,37,-106
"Nh8",36,-107,36,-107
"Sa11",14,-91,14,-91
"Sa3",14,-89,14,-89
"Sa10",17,-92,17,-92
"Sa8",15,-92,15,-92
"Sa13",15,-91,15,-91
"Sa6",18,-90,18,-90
"Nj6",16.215,-95.02,16,-95
"Nj7",17,-95,17,-95
"Nj3",18,-95,18,-95
"Ni5",22,-100,22,-100
"Nj10",17,-96,17,-96
"Si3",-14,-55,-14,-55
"Sb1",14.83,-61.179,15,-61
"Sa7",16,-89,16,-89
"Sb2",11,-74,11,-74
"Sc11",6,-63,6,-63
"Sb4",9,-64,9,-64
"Si10",-13,-54,-13,-54
"Sc12",4,-59,4,-59
"Sc13",6,-66,6,-66
"Sc15",4,-62,4,-62
"Sc10",6,-57,6,-57
"Sd7",1,-59,1,-59
"Sc7",5,-66,5,-66
"Sc16",3,-65,3,-65
"Sb7",9,-72,9,-72
"Se4",-3,-72,-3,-72
"Se6",-1,-74,-1,-74
"Sa5",9,-83,9,-83
"Sc3",5,-59,5,-59
"Sf3",1,-79,1,-79
"Sf6",5,-72,5,-72
"Sa1",9,-78,9,-78
"Sf5",3,-76,3,-76
"Sf4",7,-72,7,-72
"Sa9",13,-85,13,-85
"Sj7",-6,-49,-6,-49
"Sd4",2,-65,2,-65
"Sd5",-4,-57,-4,-57
"Sj11",-14,-52,-14,-52
"Se10",1,-79,1,-79
"Si1",-16,-55,-16,-55
"Sf1",-13,-72,-13,-72
"Sj3",-28,-50,-28,-50
"Sh3",-29,-61,-29,-61
"Sh4",-22,-57,-22,-57
"Sh8",-25,-60,-25,-60
"Sh5",-22,-62,-22,-62
"Sh1",-24,-63,-24,-63
"Sh9",-23,-59,-23,-59
"Se8",-10,-72,-10,-72
"Se11",-12,-67,-12,-67
"Se9",-9,-74,-9,-74
"Sh6",-20,-59,-20,-59
"Si5",-12,-54,-12,-54
"Sj10",-26,-54,-26,-54
"Sh7",-20,-63,-20,-63
"Si8",-15,-57,-15,-57
"Sj2",-9,-48,-9,-48
"Sd1",-6,-58,-6,-58
"Se1",-16,-64,-16,-64
"Sd2",-11,-52,-11,-52
"Sj6",-3,-46,-3,-46
"Sj8",-8,-35.4,-8,-35
"Se5",1,-71,1,-71
"Sf7",-8,-75,-8,-75
"Sc9",5,-67,5,-67
"Sb6",12,-72,12,-72
"Sj4",-7,-45,-7,-45
"Sd3",3,-52,3,-52
"Sb5",11,-72,11,-72
"Si7",-15,-58,-15,-58
"Sc17",6,-68,6,-68
"Sb8",20,-75,19,-75
"Sh2",-21,-58,-21,-58
"Sc5",3,-60,3,-60
"Sg2",-39,-68,-39,-68
"Sg3",-54,-69,-54,-69
"Sg4",-46,-70,-46,-70
"Sf2",-16,-69,-16,-69
"Sj9",-8,-52,-8,-52
"Ec7",44,144,44,144
"Sg5",-52,-74,-52,-74
"Eh1",12,92.6,12,93
"Ce4",43,-1,43,-1
"Sj5",-18,-42,-18,-42
"Ee2",37,75,37,75
"Sj1",-12,-50,-12,-50
"Nj1",18,-96,18,-96
"Sa4",8,-78,8,-78
"Nc28",34.4,-119.75,34,-120
"Nb21",43,-124,43,-124
"Nb5",60,-145,60,-145
"Cb17",12,24,12,24
"Ec1",53,142,53,142
"Sc4",5,-69,5,-69
"Si6",-19,-58,-19,-58
"Nb1",54,-132,54,-132
"Se3",-3,-78,-3,-78
"Ne16",29,-96,29,-96
"Ec8",62,90,62,90
"Ne17",36,-99,36,-99
"Ed1",35,102,35,102
"Nd7",50,-117,50,-117
"Sa12",14,-88,14,-88
"Si4",-12,-59,-12,-59
"Sc8",5,-67,5,-67
"Sd8",4,-66,4,-66
"Ni4",29,-112,29,-112
"Sd6",4,-63,4,-63
"Cb3",17,-1,17,-1
"Ce8",43,-2,43,-2
"Nj8",19,-101,19,-101
"Id8",-42,146,-42,146
"Nb22",58,-134,58,-134
"Nj4",20,-97,20,-97
"Si2",-12,-53,-12,-53
"Nb7",55,-130,55,-130
"Se2",-3,-70,-3,-70
"Sc1",9,-62,9,-62
"Nd6",39,-120,39,-120
"Sg1",-55,-69,-55,-69
"Sd9",2,-65,2,-65
"Sc2",7,-68,7,-68
"Ng11",35,-86,35,-86
"Ec6",70,145,70,145
"Cb20",13,3,13,3
"Nh4",35,-109,35,-109
"ec12",72,90,72,90
"ec13",54.95,167.95,55,168
"ec14",64,173,64,173
"ec15",63,62,63,62
"ec16",55,112,55,112
"ec17",52,134,52,134
"ec18",50,136,50,136
"ec19",54.05,142.1,54,142
"ec20",51,138,51,138
"ec21",47,136,47,136
"ch12",54,56,54,56
"ch13",58,52,58,52
"ch14",57,53,57,53
"ch15",53,50,53,50
"ch16",59,26,59,26
"ch17",45,29,45,29
"ch18",59,29,59,29
"ch19",64,33,64,33
"ch20",55,50,55,50
"ch21",57,24,57,24
"ch22",55,23,55,23
"ch23",55,24,55,24
"ch24",57,23,57,23
"ch25",47,29,47,29
"ch26",57,53,57,53
"ch27",61,35,61,35
"ch28",59,29,59,29
"B1",3,114,3,114
"B2",10.15,119.11,10,119.11
"B3",-3.04,102.69,-3.04,102.69
"B4",7,93.77,7,93.77
"B5",10.7,92.47,10.7,92.47
"B6",12.19,92.79,12.19,92.37
"B7",15.5,120.33,15.5,120.33
"B8",13.32,92.89,13.32,92.89
"B9",5.86,101,5.86,101
"B10",8.28,81.25,8.58,81.25
"B11",9.25,77.25,9.25,77.25
"B12",17.33,122.13,17.33,122.13
"B13",17.48,122.05,17.48,122.05
"B14",17.82,121.8,17.82,121.8
"B15",16.25,78.97,16.25,78.97
"B16",18.41,100.47,18.41,100.47
"B17",9.75,77.5,9.75,77.5
"B18",23.41,84.38,23.41,84.38
"B19",10.25,77.17,10.25,77.17
"B20",10.18,76.4,10.18,76.4
"B21",11.9,77.21,11.9,77.21
"B22",44.01,144.17,44.01,144.17
"B23",51.91,122.5,51.91,122.5
"B24",62,90,62,90
"B25",51.54,140,51.54,140
"B26",70,145,70,145
"B27",73.83,90,73.83,90
"B28",65.96,170.08,65.96,170.08
"B35",9.9,-72.41,9.9,-72.41
"B36",3.86,-66.17,3.86,-66.17
"B37",3,-55,3,-55
"B38",6.85,-68.77,6.85,-68.77
"B39",5.38,-68.31,5.38,-68.31
"B40",2.56,-71.81,2.56,-71.81
"B41",-16.63,-55.2,16.52,-55
"B42",-18,-57.5,-18,-57.5
"B43",-15,-63.58,-15,-63.58
"B44",-16.46,-64.97,-16.46,-64.97
"B45",-12.73,-59.55,-12.73,-59.55
"B46",26.75,-81.9,-26.5,-82
"B47",-25.7,-55.38,-25.7,-55.38
"B48",-18.71,-41.86,-18.71,-41.86
"B49",-23.52,-53.68,-23.52,-53.68
"B50",-28,-50,-28,-50
"B51",-46,-68.7,-46,-68.7
"B52",-45,-73.83,-45,-73.83
"B53",-49.55,-74.52,-49.55,-74.52
"B54",-53.9,-68.62,-53.9,-68.62
"B55",-55.5,-68.41,-60,-68.66
"B60",2,17,2,17
"B61",3.58,17.76,3.58,17.76
"B62",-6.64,28.26,-6.64,28.26
"B63",2.39,15.31,2.39,15.31
"B64",2.7,27.64,2.7,27.64
"B65",1.54,28.61,1.54,28.61
"B66",-22.32,43.81,-22.32,43.81
"B67",-16.93,24.32,-16.93,24.32
"B68",-18.65,16.12,-18.65,16.12
"B69",-3.82,35.32,-3.82,35.32
"B70",0,36,0,36
"B71",-16.42,19.53,-16.42,19.53
"B72",-20,21.18,-20,21.18
"B73",-21.64,21.61,-21.64,21.61
"B74",-22.46,23.39,-22.46,23.39
"B75",-22.88,24.41,-22.88,24.41
"B76",-23.86,22.2,-23.86,22.2
"B77",-27.37,19.82,-27.37,19.82
"B78",-26.28,30.23,-26.28,30.23
"B79",-31.47,19.77,-31.47,19.77
"B82",-10.77,142.12,-10.77,142.12
"B83",-12.6,130.78,-12.6,130.78
"B84",-12.43,134.12,-12.43,134.12
"B85",-12.31,135.2,-12.31,135.2
"B86",-12.2,134.73,-12.2,134.73
"B87",-12.18,134.4,-12.18,134.4
"B88",-12.93,135.84,-12.93,135.84
"B89",-15.55,128.19,-15.55,128.19
"B90",-13.47,142,-13.47,142
"B91",-13.13,132.95,-13.13,132.95
"B92",-13.76,135.98,-13.76,135.98
"B93",-14,143.5,-14,143.5
"B94",-15,142.17,-15,142.17
"B95",-11.59,130.87,-11.59,130.87
"B96",-15.92,145.32,-15.92,145.32
"B97",-14,136.62,-14,136.62
"B98",-14.34,144.22,-14.34,144.22
"B99",-13.58,130.58,-13.58,130.58
"B100",-15.32,124.72,-15.32,124.72
"B101",-16.91,127.83,-16.91,127.83
"B102",-16.3,139.3,-16.3,139.3
"B103",-16.94,139.28,-16.94,139.28
"B104",-19.17,121.46,-18.92,121.21
"B105",-17.64,145.84,-17.64,145.84
"B106",-20.88,118.27,-20.88,118.27
"B107",-18.41,145.61,-18.41,145.61
"B108",-19.16,130,-19.16,130
"B109",-20,130.57,-20,130.57
"B110",-17.36,145.56,-17.36,145.56
"B111",-22.79,125.06,-22.79,125.06
"B112",-22.93,127.18,-22.93,127.18
"B113",-22.86,129.44,-22.86,129.44
"B114",-27.28,153.24,-27.28,153.24
"B115",-27.25,152.87,-27.25,152.87
"B116",-24.41,141.64,-24.41,141.64
"B117",-22.27,135.17,-22.27,135.17
"B118",-25.32,127.27,-25.32,127.27
"B119",-29.59,152.78,-29.59,152.78
"B120",-26,130,-26,130
"B121",-28.54,139.09,-28.54,139.09
"B122",-26.09,135.52,-26.09,135.52
"B123",-27,131.95,-27,131.95
"B124",-23.7,133.76,-23.7,133.76
"B125",-29.3,147.25,-29.3,147.25
"B126",-27.31,128.19,-27.31,128.19
"B127",-30.38,131.81,-30.38,131.81
"B128",-32.4,142.25,-32.4,142.25
"B129",-34.56,138.4,-34.56,138.4
"B130",-32.14,146.09,-32.14,146.09
"B131",-35.06,139.29,-35.06,139.29
"B132",-34.95,117.81,-34.95,117.81
"B133",-35.86,141.38,-35.86,141.38
"B134",-38.33,144.97,-38.93,145.07
"B135",-37.59,147.42,-37.59,147.42
"B136",-42.62,147.49,-42.62,147.49
"B137",-41.38,145.21,-41.38,145.21
"B143",29.59,-112.18,29.59,-112.18
"B144",33.59,-116.24,33.59,-116.24
"B145",33.26,-116.59,33.26,-116.59
"B146",31.44,-115.25,31.44,-115.25
"B147",32.44,-116.49,32.44,-116.49
"B148",36,-119.83,36,-119.83
"B149",34.52,-117,34.52,-117
"B150",33.42,-117.3,33.42,-117.3
"B151",36.45,-118.96,36.45,-118.96
"B152",36,-118.32,36,-118.32
"B153",40,-122.56,40,-122.56
"B154",37.44,-120.44,37.44,-120.44
"B155",39.08,-122.05,39.08,-122.05
"B156",34,-118,34,-118
"B157",36.6,-117.08,36.6,-117.08
"B158",39.03,-122.94,39.03,-122.94
"B159",39.12,-122.94,39.12,-122.94
"B160",40.9,-122.35,40.9,-122.35
"B161",34.63,-119.6,34.63,-119.6
"B162",40.85,-123.3,40.85,-123.3
"B163",39.03,-121.15,39.03,-121.15
"B164",35.47,-120.84,35.47,-120.84
"B165",38.54,-122.88,38.54,-122.88
"B166",40.1,-123.96,40.1,-123.96
"B167",40.18,-123.16,40.18,-123.16
"B168",38.24,-122.88,38.24,-122.88
"B169",40.17,-124.04,40.17,-124.04
"B170",38.79,-122.48,38.79,-122.48
"B171",39.7,-123.15,39.7,-123.15
"B172",38.59,-122.54,38.59,-122.54
"B173",39.34,-123.29,39.34,-123.29
"B174",40.38,-122.89,40.38,-122.89
"B175",38,-119.77,38,-119.77
"B176",42.44,-123.48,42.44,-123.48
"B177",39.64,-123.74,39.64,-123.74
"B178",41.87,-123.92,41.87,-123.92
"B179",41.62,-122.7,41.62,-122.7
"B180",40.93,-123.61,40.93,-123.61
"B181",42.61,-124.04,42.61,-124.04
"B182",41.58,-123.47,41.58,-123.47
"B183",40.75,-121.12,40.75,-121.12
"B184",40.75,-124.14,40.75,-124.14
"B185",40.28,-120.56,40.28,-120.56
"B186",41.4,-123.89,41.4,-123.89
"B187",41.32,-121.19,41.32,-121.19
"B188",42,-121.31,42,-121.31
"B189",42.62,-121.5,42.62,-121.5
"B190",25,-111.54,25,-111.54
"B191",22,-100,22,-100
"B192",36.52,-116.81,36.52,-116.81
"B193",28.44,-96.91,28.44,-96.91
"B194",26,-102.07,26,-102.07
"B195",36.37,-117.33,36.37,-117.33
"B196",33.37,-110.5,33.37,-110.5
"B197",36.12,-117.7,36.12,-117.7
"B198",35.95,-114.5,35.95,-114.5
"B199",35.37,-118,35.37,-118
"B200",36.65,-117.79,36.65,-117.79
"B201",37.86,-110.72,37.86,-110.72
"B202",36.88,-118.18,36.88,-118.18
"B203",37.92,-116.45,37.92,-116.45
"B204",36.9,-112.55,36.9,-112.55
"B205",38.11,-118.45,38.11,-118.45
"B206",37.28,-118,37.28,-118
"B207",42.94,-115.3,42.94,-115.3
"B208",40,-119.6,40,-119.6
"B209",40.22,-111.81,40.22,-111.81
"B210",40.12,-118.37,40.12,-118.37
"B211",37.69,-118.14,37.69,-118.14
"B212",40.27,-120.44,40.27,-120.44
"B213",41.55,-112.22,41.55,-112.22
"B214",39.88,-114,39.88,-114
"B215",39.19,-114.48,39.19,-114.48
"B216",41,-117.31,41,-117.31
"B217",38.33,-115.78,38.33,-115.78
"B218",39.25,-117.32,39.25,-117.32
"B219",37,-119.07,37,-119.07
"B221",41.59,-113.94,41.59,-113.94
"B222",37.67,-109,37.67,-109
"B223",43.94,-120.49,43.94,-120.49
"B224",40.19,-114.24,40.19,-114.24
"B225",39.08,-119.82,39.08,-119.82
"B226",41.5,-120.06,41.5,-120.06
"B227",43.19,-108.86,43.19,-108.86
"B228",40.36,-115.39,40.36,-115.39
"B229",43,-112,43,-112
"B230",40.47,-110.22,40.47,-110.22
"B231",43.25,-119.14,43.25,-119.14
"B232",45.17,-113.84,45.17,-113.84
"B233",39.33,-115.84,39.33,-115.84
"B234",38.14,-107.8,38.14,-107.8
"B240",28.96,-98.48,28.96,-98.48
"B241",36.83,-100.5,36.83,-100.5
"B242",32.52,-101.76,32.52,-101.76
"B243",36.9,-99.1,36.9,-99.1
"B244",35.83,-98.9,35.83,-98.9
"B245",38.83,-102.35,38.83,-102.35
"B246",40.13,-102.72,40.13,-102.72
"B248",45.83,-108.48,45.83,-108.48
"B249",44.5,-102.27,44.5,-102.27
"B250",47.48,-114.08,47.48,-114.08
"B252",43.66,-112.32,43.66,-112.32
"B253",48.12,-105.6,48.12,-105.6
"B254",47.6,-97.25,47.6,-97.25
"B255",49.34,-111.21,49.34,-111.21
"B256",51.01,-110.76,51.01,-110.76
"B257",49.49,-102.43,49.49,-102.43
"B258",51.86,-102.67,51.86,-102.67
"B259",52.79,-113.86,52.79,-113.86
"B260",53.15,-111.04,53.15,-111.04
"B268",49.77,-123.19,49.77,-123.19
"B269",44.42,-123.84,44.42,-123.84
"B270",47.11,-122.04,47.11,-122.04
"B271",47.55,-123.16,47.55,-123.16
"B272",46.87,-123.67,46.87,-123.67
"B273",49.34,-125.74,49.34,-125.74
"B274",46.06,-123.75,46.06,-123.75
"B275",43.43,-124.11,43.43,-124.11
"B276",50.46,-123,50.46,-123
"B277",48.84,-122.34,48.84,-122.34
"B278",47.38,-123.82,47.38,-123.82
"B279",49.23,-122.7,49.23,-122.7
"B280",48.41,-123.64,48.41,-123.64
"B281",45.4,-123.82,45.4,-123.82
"B282",50,-125.5,50,-125.5
"B283",52.87,-127.87,52.87,-127.87
"B284",47.77,-124.14,47.77,-124.14
"B285",47.95,-123.55,47.95,-123.55
"B286",48.22,-124.58,48.22,-124.58
"B287",53.5,-128.42,53.5,-128.42
"B288",50.42,-126.67,50.42,-126.67
"B289",54,-129.58,54,-129.58
"B290",53.54,-132.29,53.54,-132.29
"B291",52.32,-126.58,52.32,-126.58
"B292",57,-133.59,57,-133.59
"B293",55.65,-128.06,55.65,-128.06
"B294",57.93,-153.16,57.93,-153.16
"B295",60.48,-144,60.48,-144
"B296",61.01,-161.55,61.01,-161.55
"B297",61.21,-147.61,61.21,-147.61
"B298",55,-162.85,55,-162.85
"B299",60.03,-166.3,60.03,-166.3
"B315",45.59,-120.45,45.59,-120.45
"B316",45.49,-119.94,45.49,-119.94
"B317",47.41,-120.31,47.41,-120.31
"B318",46.33,-120.27,46.33,-120.27
"B319",45.72,-121.13,45.72,-121.13
"B320",47.42,-116.34,47.42,-116.34
"B321",48.78,-119.56,48.78,-119.56
"B322",49.46,-119.63,49.46,-119.63
"B323",47.94,-118.44,47.94,-118.44
"B324",46.25,-116.46,46.25,-116.46
"B325",51.26,-121.75,51.26,-121.75
"B326",47.94,-115.67,47.94,-115.67
"B327",45.21,-85.1,45.21,-85.1
"B328",45,-91,45,-91
"B329",46.99,-65,46.99,-65
"B330",46.28,-113.26,46.28,-113.26
"B331",45.21,-85.1,45.21,-85.1
"B332",52.28,-96.78,52.28,-96.78
"B333",53.41,-119.53,53.41,-119.53
"B334",51.84,-93.85,51.84,-93.85
"B335",52.71,-90.62,52.71,-90.62
"B336",51.32,-124.02,51.32,-124.02
"B337",49.34,-88.31,49.34,-88.31
"B338",51.75,-72.66,51.75,-72.66
"B339",51.22,-83.1,51.22,-83.1
"B340",49.78,-76.64,49.78,-76.64
"B341",52.79,-90.64,52.79,-90.64
"B342",52.42,-63.33,52.42,-63.33
"B343",56.14,-120,56.14,-120
"B344",58.51,-115.76,58.51,-115.76
"B345",61.15,-119.5,61.15,-119.5
"B346",59.73,-125,59.73,-125
"B347",57.66,-127.85,57.66,-127.85
"B348",51.68,-124,51.68,-124
"B349",53.33,-123.15,53.33,-123.15
"B350",63.68,-125.37,63.68,-125.37
"B351",64.79,-141.2,64.79,-141.2
"B352",67.47,-125,67.47,-125
"B353",53.62,-83.88,53.62,-83.88
"B354",66.52,-153.78,66.52,-153.78
"B355",59.47,-106.19,59.47,-106.19
"B356",65.94,-135.23,65.94,-135.23
"B357",61.82,-157.75,61.82,-157.75
"B358",65.75,-122.89,65.75,-122.89
"B359",63.44,-143.12,63.44,-143.12
"B360",51.08,-77.81,51.08,-77.81
"B361",63.85,-115.61,63.85,-115.61
"B362",61.74,-150.45,61.74,-150.45
"B363",61.24,-138.21,61.24,-138.21
"B364",63.33,-157.54,63.33,-157.54
"B365",56.19,-68.92,56.19,-68.92
"B369",63.98,-160.75,63.98,-160.75
"B370",66.95,-156.94,66.95,-156.94
"B371",66.77,-161.53,66.77,-161.53
"B372",57.97,-62.02,57.97,-62.02
"B373",55.32,-77.69,55.32,-77.69
"B374",64.33,-96.2,64.33,-96.2
"B375",68.09,-160,68.09,-160
"B377",68.18,-151.71,68.18,-151.71
"B378",69.96,-132.09,69.96,-132.09
"B379",63.49,-170.31,63.49,-170.31
"B380",68.29,-166.12,68.29,-166.62
"B381",68.58,-106.61,68.58,-106.61
"B382",66.99,-95.18,66.99,-95.18
"B383",65.16,-88.12,65.16,-88.12
"B384",69.44,-81.51,69.44,-81.51
"B385",69.21,-50.31,69.31,-50.21
"B386",65.25,-64.7,65,-65
"B387",71.46,-94.93,71.46,-94.93
"B388",65.93,-37.34,65.63,-37.64
"B389",71.32,-156.78,71.32,-156.78
"B390",77.69,-69.5,77.49,-69.5
