xd_id,xd_name,iso_6933,N_iso_shared,glottocode,DND.TempVsFinal,DND.glottocodeNotes,DND.glottocodeEditor,GlottoMaxParentID,GlottoMaxParentName,GlottoMaxParentLevel,EthnologueLangFam
xd365,Bongo,bot,1,bong1285,TEMP,"final for now, assigned language-level code bc only society for language, but maybe possible to further resolve",1,cent2225,Central Sudanic,family,
xd295,Bozo,boz,1,tiey1235,final,final,1,mand1469,Mande,family,
xd812,Bgu,bpg,1,bong1287,final,final,1,aust1307,Austronesian,family,
xd740,Bilaan,bpr,1,koro1310,final,final,1,aust1307,Austronesian,family,
xd607,Bakhtiari,bqi,1,bakh1245,TEMP,"final for now, assigned language-level code bc only society for language, but maybe possible to further resolve",1,indo1319,Indo-European,family,
xd150,Bira,brf,2,bera1259,final,final,1,atla1278,Atlantic-Congo,family,
xd154,Plains Bira,brf,2,bera1259,final,final,1,atla1278,Atlantic-Congo,family,
xd138,Kpe,bri,1,mokp1239,final,final,1,atla1278,Atlantic-Congo,family,
xd356,Abarambo,brm,1,bara1361,final,final,1,atla1278,Atlantic-Congo,family,
xd317,Zuande,brt,1,bita1251,final,final,1,atla1278,Atlantic-Congo,family,
xd257,Bassari,bsc,1,bass1258,final,final,1,atla1278,Atlantic-Congo,family,
xd435,Basketo,bst,1,bask1236,final,final,1,gong1255,Ta-Ne-Omotic,family,
xd325,Bata,bta,1,bata1314,TEMP,"final for now, assigned language-level code bc only society for language, but maybe possible to further resolve",1,afro1255,Afro-Asiatic,family,
xd286,Basari,bud,1,ntch1242,TEMP,"final for now, assigned language-level code bc only society for language, but maybe possible to further resolve",1,atla1278,Atlantic-Congo,family,
xd805,Busama,buk,1,buga1250,final,final,1,aust1307,Austronesian,family,
xd569,Bulgarians,bul,1,bulg1262,TEMP,"final for now, assigned language-level code bc only society for language, but maybe possible to further resolve",1,indo1319,Indo-European,family,
xd191,Sherbro,bun,1,sher1258,TEMP,"final for now, assigned language-level code bc only society for language, but maybe possible to further resolve",1,atla1278,Atlantic-Congo,family,
xd151,Budu,buu,1,budu1250,TEMP,"final for now, assigned language-level code bc only society for language, but maybe possible to further resolve",1,atla1278,Atlantic-Congo,family,
xd307,Borrom,bux,1,bogh1241,final,final,1,afro1255,Afro-Asiatic,family,
xd165,Bubi,bvb,1,bube1242,TEMP,"final for now, assigned language-level code bc only society for language, but maybe possible to further resolve",1,atla1278,Atlantic-Congo,family,
xd941,Anbarra,bvr,2,gunn1247,final,final,1,mani1293,Maningrida,family,
xd774,Gidjingali,bvr,2,gunn1248,final,final,1,mani1293,Maningrida,family,
xd848,Bwaidoga,bwd,1,bwai1242,TEMP,"final for now, assigned language-level code bc only society for language, but maybe possible to further resolve",1,aust1307,Austronesian,family,
xd326,Bura,bwr,1,bura1292,TEMP,"final for now, assigned language-level code bc only society for language, but maybe possible to further resolve",1,afro1255,Afro-Asiatic,family,
xd275,Builsa,bwu,1,buli1254,final,final,1,atla1278,Atlantic-Congo,family,
