ID,STANDARD SOCIETY NAME Binford,Name_EA_society,EA_match_Note,HRAF_ID (OWC),eHRAF Name,# in SCCS (same time/place focus)?,# in SCCS (different time/place focus),SCCS Name,StdLng_ID_Claire_Bowern_Aus_database,Name_Claire_Bowern_Aus_database
B372,Labrador Inuit,Labrador Eskimo,NA,,,,,,,
B373,Great Whale Inuit,NA,NA,,,,,,,
B374,Caribou Inuit,Caribou Eskimo,NA,,,,,,,
B375,Noatak Inuit,NA,NA,,,,,,,
B377,Nunamiut Inuit,Nunamiut,NA,,,,,,,
B378,Mackenzie Inuit,NA,NA,,,,,,,
B379,Sivokamiut Inuit,NA,NA,,,,,,,
B380,Point Hope Inuit,NA,NA,,,,,,,
B381,Copper Inuit,NA,NA,,,,,,,
B382,Utkuhikhalingmiut,NA,NA,,,,,,,
B383,Aivilingmiut Inuit,NA,NA,,,,,,,
B384,Iglulik Inuit,NA,NA,,,,,,,
B385,West Greenland,Greenlanders,NA,,,,,,,
B386,Baffin Island Inuit,Baffinland,NA,,,,,,,
B387,Netsilik Inuit,Netsilik,NA,,,,,,,
B388,Angmaksalik,Polar Eskimo,NA,,,,,,,
B389,Tareumiut Inuit,Tareumiut,NA,,,,,,,
B390,Polar Inuit,Angmagsalik,NA,,,,,,,
