ISO 693-3 code,Language name,FAMILY-CORRECTED,Classification,Class1,Class2,Class3,,,
tax,Tamki,Afro-Asiatic,"Afro-Asiatic, Chadic, East, B, B.3",Afro-Asiatic,Chadic,East,,,
hed,Herdé,Afro-Asiatic,"Afro-Asiatic, Chadic, Masa",Afro-Asiatic,Chadic,Masa,,,
lme,Pévé,Afro-Asiatic,"Afro-Asiatic, Chadic, Masa",Afro-Asiatic,Chadic,Masa,,,
mpg,Marba,Afro-Asiatic,"Afro-Asiatic, Chadic, Masa",Afro-Asiatic,Chadic,Masa,,,
mcn,Masana,Afro-Asiatic,"Afro-Asiatic, Chadic, Masa",Afro-Asiatic,Chadic,Masa,,,
mse,Musey,Afro-Asiatic,"Afro-Asiatic, Chadic, Masa",Afro-Asiatic,Chadic,Masa,,,
nnn,Ngete,Afro-Asiatic,"Afro-Asiatic, Chadic, Masa",Afro-Asiatic,Chadic,Masa,,,
zim,Mesme,Afro-Asiatic,"Afro-Asiatic, Chadic, Masa",Afro-Asiatic,Chadic,Masa,,,
zuy,Zumaya,Afro-Asiatic,"Afro-Asiatic, Chadic, Masa",Afro-Asiatic,Chadic,Masa,,,
dzd,Daza,Afro-Asiatic,"Afro-Asiatic, Chadic, West, A",Afro-Asiatic,Chadic,West,,,
gwn,Gwandara,Afro-Asiatic,"Afro-Asiatic, Chadic, West, A, A.1",Afro-Asiatic,Chadic,West,,,
hau,Hausa,Afro-Asiatic,"Afro-Asiatic, Chadic, West, A, A.1",Afro-Asiatic,Chadic,West,,,
bvh,Bure,Afro-Asiatic,"Afro-Asiatic, Chadic, West, A, A.2, Bole",Afro-Asiatic,Chadic,West,,,
bol,Bole,Afro-Asiatic,"Afro-Asiatic, Chadic, West, A, A.2, Bole, Bole Proper",Afro-Asiatic,Chadic,West,,,
bxq,Beele,Afro-Asiatic,"Afro-Asiatic, Chadic, West, A, A.2, Bole, Bole Proper",Afro-Asiatic,Chadic,West,,,
dbb,Deno,Afro-Asiatic,"Afro-Asiatic, Chadic, West, A, A.2, Bole, Bole Proper",Afro-Asiatic,Chadic,West,,,
gew,Gera,Afro-Asiatic,"Afro-Asiatic, Chadic, West, A, A.2, Bole, Bole Proper",Afro-Asiatic,Chadic,West,,,
glo,Galambu,Afro-Asiatic,"Afro-Asiatic, Chadic, West, A, A.2, Bole, Bole Proper",Afro-Asiatic,Chadic,West,,,
gea,Geruma,Afro-Asiatic,"Afro-Asiatic, Chadic, West, A, A.2, Bole, Bole Proper",Afro-Asiatic,Chadic,West,,,
kof,Kubi,Afro-Asiatic,"Afro-Asiatic, Chadic, West, A, A.2, Bole, Bole Proper",Afro-Asiatic,Chadic,West,,,
kks,Giiwo,Afro-Asiatic,"Afro-Asiatic, Chadic, West, A, A.2, Bole, Bole Proper",Afro-Asiatic,Chadic,West,,,
ktc,Kholok,Afro-Asiatic,"Afro-Asiatic, Chadic, West, A, A.2, Bole, Bole Proper",Afro-Asiatic,Chadic,West,,,
mew,Maaka,Afro-Asiatic,"Afro-Asiatic, Chadic, West, A, A.2, Bole, Bole Proper",Afro-Asiatic,Chadic,West,,,
nmi,Nyam,Afro-Asiatic,"Afro-Asiatic, Chadic, West, A, A.2, Bole, Bole Proper",Afro-Asiatic,Chadic,West,,,
