dataset,soc_id,xd_id,soc_name,alternate_names,main_focal_year
LRB,B178,xd1103,Tolowa,,1870
LRB,B179,xd1093,Shasta,,1860
LRB,B180,xd1096,Hupa,,1860
LRB,B181,xd1092,Tututni,,1870
LRB,B182,xd1095,Karok,,1860
LRB,B183,xd1135,Atsugewi,,1860
LRB,B184,xd1097,Wiyot,,1860
LRB,B185,xd1110,Mountain Maidu,,1850
LRB,B186,xd1101,Yurok,,1850
LRB,B187,xd1108,Achomawi,Achumawi,1860
LRB,B188,xd1140,Modoc,Modoc,1860
LRB,B189,xd1139,Klamath,Klamath,1860
LRB,B190,xd985,Guaicura,,1760
LRB,B191,xd1290,Chichimec,,1570
LRB,B192,xd1166,Death Valley Shoshoni,,1860
LRB,B193,xd1215,Karankawa,,1800
LRB,B194,xd1221,Coahuilenos,,1715
LRB,B195,xd1166,Panamint Shoshoni,,1850
LRB,B196,xd1203,Yavapai,Yavapai,1870
LRB,B197,xd1165,Koso Mountain Shoshoni,,1860
LRB,B198,xd1202,Walapai,Walapai,1870
LRB,B199,xd1126,Kawaiisu Shoshoni,Kawaiisu,1860
LRB,B200,xd1166,Saline Valley Shoshoni,,1860
LRB,B201,xd1184,Antarianunts Southern Paiute,,1860
LRB,B202,xd1164,Owens Valley Paiute (Eastern Mono),"Owens Valley Paiute, Eastern Mono",1870
LRB,B203,xd988,Kawich Mountain Shoshoni,,1860
LRB,B204,xd1189,Kaibab Southern Paiute,,1860
LRB,B205,xd989,Mono Lake Paiute,,1870
LRB,B206,xd1162,Deep Springs Paiute,,1860
LRB,B207,xd1182,Salmon Eater Shoshoni,Agaiduka-Lemhi,1860
LRB,B208,xd1160,Kuyuidokado (Pyramid Lake Paiute),,1860
LRB,B209,xd991,Ute-timanogas,"Ute-timpanogas, Ute timinogas",1860
LRB,B210,xd1161,Cattail Paiute,,1870
LRB,B211,xd1162,Fish Lake Paiute,,1860
LRB,B212,xd992,Honey Lake Paiute,Honey Lake Paiute,1870
LRB,B213,xd1185,Hukundika Shoshoni,"Hukunduka, Hukuniduica",1870
LRB,B214,xd1183,Gosiute Shoshoni,,1860
LRB,B215,xd995,Spring Valley Shoshoni,,1870
LRB,B216,xd1178,White Knife Shoshoni,,1860
LRB,B217,xd1171,Railroad Valley Shoshoni,,1860
LRB,B218,xd1169,Reese River Shoshoni,,1860
LRB,B219,xd993,North Fork Mono Paiute,,1860
LRB,B221,xd1175,Grouse Creek Shoshoni,,1860
LRB,B222,xd1152,Southern Ute (Wimonantci Ute),,1860
LRB,B223,xd994,Bear Creek Paiute,,1870
LRB,B224,xd995,Antelope Valley Shoshoni,,1860
LRB,B225,xd1196,Washo,,1850
LRB,B226,xd1157,Kidutokado (Surprise Valley Paiute),,1870
LRB,B227,xd1201,Wind River Shoshoni,,1860
LRB,B228,xd1176,Wadaduica (Ruby Valley Shoshoni),"Wadaduica, Ruby Valley Shoshoni",1860
LRB,B229,xd1180,Bohogue (Northern  Shoshoni),,1860
LRB,B230,xd1194,Uintah Ute,,1860
LRB,B231,xd1155,Wadadokado Paiute,,1870
LRB,B232,xd1181,Sheep Eater Shoshoni,"Agaiduka, Tukudika",1860
LRB,B233,xd1170,Little Smokey Shoshoni,,1860
LRB,B234,xd1199,Uncompahgre Ute,,1860
LRB,B240,xd1275,Lipan Apache,Lipan,1880
LRB,B241,xd1222,Comanche,,1870
LRB,B242,xd1259,Chiricahua Apache,,1880
LRB,B243,xd1216,Kiowa,,1870
LRB,B244,xd1219,Kiowa Apache,,1860
LRB,B245,xd1224,Cheyenne,,1860
LRB,B246,xd1228,Arapaho,Arapahoe,1860
LRB,B248,xd1223,Crow,,1870
LRB,B249,xd1227,Teton Sioux (Lakota),,1870
LRB,B250,xd1205,Kutenai,,1880
LRB,B252,xd1200,Bannock,,1860
LRB,B253,xd1208,Gros-Ventre,,1870
LRB,B254,xd1229,Bungi (Plains Ojibwa),,1850
LRB,B255,xd1217,Piegan,,1850
LRB,B256,xd1211,Blackfoot,,1850
LRB,B257,xd1210,Assiniboine,,1870
LRB,B258,xd1218,Plains Cree,,1850
LRB,B259,xd1212,Blood,,1850
LRB,B260,xd1226,Sarsi,,1880
LRB,B268,xd1072,Squamish,,1880
LRB,B269,xd1088,Alsea,,1860
LRB,B270,xd1076,Puyallup,,1870
LRB,B271,xd1079,Twana,,1850
LRB,B272,xd997,Chehalis,,1880
LRB,B273,xd1070,Nootka,Central Nootka,1880
LRB,B274,xd1078,Chinook,,1850
LRB,B275,xd1081,Coos,,1860
LRB,B276,xd1207,Lillooet,,1860
LRB,B277,xd1074,Lummi,,1880
LRB,B278,xd1085,Quinault,,1860
LRB,B279,xd1087,Stalo,,1880
LRB,B280,xd1086,Cowichan,,1880
LRB,B281,xd1080,Tillamook,,
LRB,B282,xd1073,Comox,,1860
LRB,B283,xd1083,Bella-Bella,Bella Bella,1880
LRB,B284,xd1077,Quileute,,1880
LRB,B285,xd1075,Clallam,Klallam,1860
LRB,B286,xd1084,Makah,,1860
LRB,B287,xd1105,Haisla,,1880
LRB,B288,xd1090,Kwakiutl,Southern Kwakiutl,1890
LRB,B289,xd1104,Tsimshim,Tsimshian,1880
LRB,B290,xd1068,Haida,Haida,1890
LRB,B291,xd1106,Bella-Coola,Bella Coola,1880
LRB,B292,xd1082,Tlingit,Southern Tlingit,1880
LRB,B293,xd998,Gitksan,Gitksan,1880
LRB,B294,xd999,Konaig,,1840
LRB,B295,xd1102,Eyak,,1890
LRB,B296,xd1000,Kuskowagmut,,1850
LRB,B297,xd1027,Chugash,,1930
LRB,B298,xd1067,Aleut,,1830
LRB,B299,xd1064,Nunivak,,1930
LRB,B315,xd1141,Tenino,Yenino,1850
LRB,B316,xd1151,Umatilla,,1860
LRB,B317,xd1148,Wenatchi,Wenatchi,1870
LRB,B318,xd1149,Yakima,,1880
LRB,B319,xd1150,Wishram,Wishram,1860
LRB,B320,xd1146,Coeur d'Alene,,1860
LRB,B321,xd1147,Sinkaietk,,1880
LRB,B322,xd1001,Okanagan,,1860
LRB,B323,xd1174,Sanpoil,Sanpoil,1870
LRB,B324,xd1153,Nez Perce,,1850
LRB,B325,xd1142,Thompson,,1860
LRB,B326,xd1145,Kalispel,,1870
LRB,B327,xd1055,Kitchibaun Ojibwa,,1870
LRB,B328,xd1054,Katikitegon,,1800
LRB,B329,xd1058,Micmac,,1700
LRB,B330,xd1144,Flathead,,1860
LRB,B331,xd1053,Rainy River Ojibwa,,1880
LRB,B332,xd1049,North Saulteaux,,1870
LRB,B333,xd1143,Shuswap,,1850
LRB,B334,xd1050,Pekangekum Ojibwa,,1940
LRB,B335,xd1003,Round Lake Ojibwa,,1900
LRB,B336,xd1069,Alkatcho,Allcatcho,1865
LRB,B337,xd1051,Nipigon Ojibwa,,1800
LRB,B338,xd1062,Mistassini Cree,,1880
LRB,B339,xd1004,North Albany Ojibwa,,1850
LRB,B340,xd1005,Waswanipi Cree,,1900
LRB,B341,xd1006,Wegamon Ojibwa,,1890
LRB,B342,xd1048,Montagnais,,1880
LRB,B343,xd1044,Sekani,,1880
LRB,B344,xd1045,Beaver,,1850
LRB,B345,xd1034,Slave,,1860
LRB,B346,xd1056,Kaska,,1920
LRB,B347,xd1043,Tahltan,,1870
LRB,B348,xd1206,Chilcotin,,1880
LRB,B349,xd1035,Carrier,,1880
LRB,B350,xd1007,Mountain,,1800
LRB,B351,xd1008,Han,,1880
LRB,B352,xd1009,Hare,,1860
LRB,B353,xd1065,Attawapiskat Cree,,1900
LRB,B354,xd1010,Koyukon,,1880
LRB,B355,xd1046,Chippewyan,,1880
LRB,B356,xd1037,Kutchin,,1880
LRB,B357,xd1066,Ingalik,,1880
LRB,B358,xd1033,Satudene-Bear Lake,,1860
LRB,B359,xd1026,Nabesna,,1930
LRB,B360,xd1011,Rupert House Cree,,1900
LRB,B361,xd1032,Dogrib,,1860
LRB,B362,xd1042,Tanaina,,1870
LRB,B363,xd1012,Tutchone,,1890
LRB,B364,xd1013,Holikachuk,,1860
LRB,B365,xd1063,Naskapi,,1890
LRB,B369,xd1014,Norton Sound Inuit,,1870
LRB,B370,xd1015,Kobuk Inuit,Kobuk Eskimo,1890
LRB,B371,xd1016,Kotzebue Sound Inuit,,1880
LRB,B372,xd1039,Labrador Inuit,Labrador Eskimo,1890
LRB,B373,xd1017,Great Whale Inuit,,1890
LRB,B374,xd1038,Caribou Inuit,Caribou Eskimo,1900
LRB,B375,xd1018,Noatak Inuit,Noatak Eskimo,1900
LRB,B377,xd1029,Nunamiut Inuit,Nunamiut Eskimo,1950
LRB,B378,xd1019,Mackenzie Inuit,"Mackenzie Inuit, Mackenzie Eskimo",1910
LRB,B379,xd1020,Sivokamiut Inuit,,1920
LRB,B380,xd1021,Point Hope Inuit,Point Hope Eskimo,1880
LRB,B381,xd1022,Copper Inuit,Copper Eskimo,1920
LRB,B382,xd1023,Utkuhikhalingmiut,,1920
LRB,B383,xd1024,Aivilingmiut Inuit,,1880
LRB,B384,xd1025,Iglulik Inuit,,1920
LRB,B385,xd1041,West Greenland,,1880
LRB,B386,xd1030,Baffin Island Inuit,,1880
LRB,B387,xd1060,Netsilik Inuit,Netsilik Eskimo,1880
LRB,B388,xd1040,Angmaksalik,,1880
LRB,B389,xd1036,Tareumiut Inuit,Barrow,1880
LRB,B390,xd1031,Polar Inuit,Polar Eskimo,1880
