ID,STANDARD SOCIETY NAME Binford,801_FULL_NAME,807_FULLNAME,804_FULLNAME,603_FULLNAME,901_FULLNAME,,
B185,Mountain Maidu,MAIDU (MOUNTAIN),MAIDU,MAIDU (MOUNTAIN),MAIDU (MOUNTAIN),Mountain Maidu,,
B186,Yurok,YUROK,YUROK,YUROK,YUROK,Yurok,,
B187,Achomawi,ACHUMAWI,0,ACHUMAWI,ACHOMAWI,Achomawi,,
B188,Modoc,MODOC,MODOC,"MODOC,",MOD OC,Modoc,,
B189,Klamath,KLAMATH,KLAMATH,KLAMATH,KLAMATH,Klamath,,
B190,Guaicura,GUAICURA,GUAICURA,GUAICURA,,Guaicura,,
B191,Chichimec,#N/A,#N/A,,,Chichimec,,
B192,Death Valley Shoshoni,DEATH VALLEY SHOSHONI,DEATH VALLEY SHOSHONI,DEATH VALLEY SHOSHONI,,Death Valley,,
B193,Karankawa,KARANKAWA,KARANKAWA,,,Karankawa,,
B194,Coahuilenos,#N/A,#N/A,,,Coahuilenos,,
B195,Panamint Shoshoni,PANAMINT VALLEY SHOSHONI,PANAMINT VALLEY SHOSHONI,PANAMINT VALLEY SHOSHONI,,Panamint,,
B196,Yavapai,YAVAPAI,YAVAPAI,YAVAPAI,YAVAPAI,Yavapai,,
B197,Koso Mountain Shoshoni,KOSO MOUNTAIN SHOSHONI,0,KOSO MOUNTAIN SHOSHONI,,Koso Mountain,,
B198,Walapai,WALAPAI,WALAPAI,WALAPAI,WALAPAI,Walapai,,
B199,Kawaiisu Shoshoni,KAWAIISU,KAWAIISU,KAWAIISU,,Kawaiisu,,
B200,Saline Valley Shoshoni,SALINE VALLEY SHOSHONI,0,SALINE VALLEY SHOSHONI,,Saline Valley,,
B201,Antarianunts Southern Paiute,#N/A,ANTARIANUNT SOUTHERN PAIUTE,ANTARIANUNT SOUTHERN PAIUTE,,Antarianunts,,
B202,Owens Valley Paiute (Eastern Mono),OWENS VALLEY PAIUTE,OWENS VALLEY PAIUTE,OWENS VALLEY PAIUTE,OWENS VALLEY PAIUTE,Eastern Mono,,
B203,Kawich Mountain Shoshoni,KAWICH MOUNTAIN SHOSHONI,0,KAWICH MOUNTAIN SHOSHONI,,Kawich Mountain,,
B204,Kaibab Souther Paiute,KAIBAB SOUTHERN PAIUTE,KAIBAB SOUTHERN PAIUTE,KAIBAB SOUTHERN PAIUTE,KAIBAB,Kaibab,,
B205,Mono Lake Paiute,MONO LAKE PAIUTE,MONO LAKE PAIUTE,MONO LAKE PAIUTE,,Mono Lake,,
B206,Deep Springs Paiute,DEEP SPRINGS PAIUTE,DEEP SPRINGS PAIUTE,DEEP SPRINGS PAIUTE,,Deep Springs,,
B207,Salmon Eater Shoshoni,SALMON-EATER SHOSHONI,0,SALMON-EATER SHOSHONI,,Salmon Eater,,
B208,Kuyuidokado (Pyramid Lake Paiute),PYRAMID LAKE PAIUTE,0,PYRAMID LAKE PAIUTE,KUYUIDODADO,Kuyuidokado,,
B209,Ute-timanogas,TIMANOGAS UTE,TIMANOGAS UTE,,UTE TIMINOGAS,Ute-timpanogas,,
B210,Cattail Paiute,CATTAIL PAIUTE,CATTAIL PAIUTE,CATTAIL PAIUTE,,Cattail Eater,,
B211,Fish Lake Paiute,FISH LAKE VALLEY PAIUTE,FISH LAKE VALLEY PAIUTE,FISH LAKE VALLEY PAIUTE,,Fish Lake,,
B212,Honey Lake Paiute,#N/A,#N/A,HONEY LAKE PAIUTE,NORTH PAIUTE (HONEY LAKE),Honey Lake,,
B213,Hukundika Shoshoni,HUKUNDUKA SHOSHONI,0,HUKUNDUICA SHOSHONI,,Hukundika,,
B214,Gosiute Shoshoni,GOSIUTE SHOSHONI,0,GOSIUTE SHOSHONI,,Gosiute,,
B215,Spring Valley Shoshoni,SPRING VALLEY SHOSHONI,0,,,Spring Valley,,
B216,White Knife Shoshoni,WHITE KNIFE SHOSHONI,WHITE KNIFE SHOSHONI,,WHITE KNIFE,White Knife,,
B217,Railroad Valley Shoshoni,RAILROAD VALLEY SHOSHONI,RAILROAD VALLEY SHOSHONI,RAILROAD VALLEY SHOSHONI,,Railroad Valley,,
B218,Reese River Shoshoni,REESE RIVER SHOSHONI,0,REESE RIVER SHOSHONI,,Reese River,,
B219,North Fork Mono Paiute,MONO-NORTH FORK PAIUTE,NORTHERN PAIUTE,,MONO (NORTH FORK),North Fork Mono,,
B221,Grouse Creek Shoshoni,GROUSE CREEK SHOSHONI,GROUSE CREEK SHOSHONI,GROUSE CREEK SHOSHONI,,Grouse Creek,,
B222,Southern Ute (Wimonantci Ute),WIMONANTCI UTE,0,SOUTHERN UTE,SOUTHERN UTE,Southern Ute,,
B223,Bear Creek Paiute,BEAR CREEK PAIUTE,0,,,Bear Creek,,
B224,Antelope Valley Shoshoni,ANTELOPE VALLEY SHOSHONI,0,,,Antelope Valley,,
B225,Washo,WASHO,WASHO,WASHO,WASHO,Washo,,
B226,Kidutokado (Surprise Valley Paiute),SURPRISE VALLEY PAIUTE,KIDUTOKADO,KIDUTOKADO,,Kidutokado,,
B227,Wind River Shoshoni,WIND RIVER SHOSHONI,WIND RIVER SHOSHONI,,,Wind River Shoshoni,,
B228,Wadadika (Ruby Valley Shoshoni),WADADUICA (RUBY VALLEY SHOSHONI),0,RUBY VALLEY SHOSHONI,,Wadadika,,
B229,Bohogue (Northern  Shoshoni),BOHOGUE NORTHERN SHOSHONI,0,,,Bohogue,,
B230,Uintah Ute,UINTAH UTE,UINTAH UTE,,UINTAH UTE,Uintah Ute,,
B231,Wadadokado Paiute,WADADOKADO PAIUTE,WADADOKADO PAIUTE,WADADOKADO PAIUTE,,Wadadokado,,
B232,Agaiduka Shoshoni,AGAIDUICA SHOSHONI,AGAIDUKA SHOSHONI,AGAIDUKA SHOSHONI,AGAIDUKA,Agaiduka,,
B233,Little Smokey Shoshoni,LITTLE SMOKEY SHOSHONI,LITTLE SMOKEY SHOSHONI,LITTLE SMOKEY SHOSHONI,,Little Smokey,,
B234,Uncompahgre Ute,UNCOMPAHGRE UTE,0,,UNCOMPAHGRE,Uncompahgre Ute,,
B240,Lipan Apache,LIPAN APACHE,0,LIPAN APACHE,LIPAN,Lipan Apache,,
B241,Comanche,COMANCHE,COMANCHE,,COMANCHE,Comanche,,
B242,Chiricahua Apache,CHIRICAHUA APACHE,CHIRICAHUA APACHE,,,Chiricahua Apache,,
B243,Kiowa,KIOWA,KIOWA,,,Kiowa,,
B244,Kiowa Apache,KIOWA APACHE,,,,Kiowa Apache,,
B245,Cheyenne,CHEYENNE,CHEYENNE,CHEYENNE,,Cheyenne,,
B246,Arapaho,ARAPAHOE,ARAPAHO,,,Arapaho,,
B248,Crow,CROW,CROW,CROW,,Crow,,
B249,Teton Sioux (Lakota),TETON LAKOTA,0,,TETON,Teton Sioux,,
B250,Kutenai,KUTENAI,KUTENAI,KUTENAI,KUTENAI,Kutenai,,
B252,Bannock,BANNOCK,0,,BANNOCK,Bannock,,
B253,Gros-Ventre,GROS-VENTRE,GROS-VENTRE,GROS-VENTRE,,Gros-Ventre,,
B254,Bungi (Plains Ojibwa),PLAINS OJIBWA,0,,,Bungi,,
B255,Peigan,PEIGAN,PEIGAN,PEIGAN,,Peigan,,
B256,Blackfoot,BLACKFOOT,BLACKFOOT,BLACKFOOT,,Blackfoot,,
B257,Assiniboine,ASSINIBOINE,ASSINIBOINE,,,Assiniboine,,
B258,Plains Cree,PLAINS CREE,PLAINS CREE,,,Plains Cree,,
B259,Blood,BLOOD,0,,,Blood,,
B260,Sarsi,SARSI,SARSI,SARSI,,Sarsi,,
B268,Squamish,SQUAMISH,0,SQUAMISH,,Squamish,,
B269,Alsea,#N/A,#N/A,ALSEA,ALSEA,Alsea,,
B270,Puyallup,PUYALLUP,PUYALLUP,PUYALLUP,,Puyallup,,
B271,Twana,TWANA,TWANA,TWANA,TWANA,Twana,,
B272,Chehalis,CHEHALIS,0,,,Chehalis,,
B273,Nootka,NOOTKA (1881),NOOTKA,NOOTKA,NOOTKA,Central Nootka,,
B274,Chinook,CHINOOK,CHINOOK,CHINOOK,,Chinook,,
B275,Coos,COOS,0,COOS,,Coos,,
B276,Lillooet,LILLOOETZ,LILLOOET,LILLOOET,LILLOOET,Lillooet,,
B277,Lummi,LUMMI,LUMMI,LUMMI,,Lummi,,
B278,Quinault,QUINAULT,0,QUINAULT,,Quinault,,
B279,Stalo,STALO,STALO,STALO,STALO,Stalo,,
B280,Cowichan,COWICHAN,COWICHAN,COWICHAN,COWICHAN,Cowichan,,
B281,Tillamook,TILLAMOOK,0,TILLAMOOK,,Tillamook,,
B282,Comox,COMOX,comox,,,Comox,,
B283,Bella-Bella,BELLA-BELLA,0,,BELLA BELLA,Bella-Bella,,
B284,Quileute,QUILEUTE,QUILEUTE,QUILEUTE,,Quileute,,
B285,Clallam,CLALLAM,CLALLAM,CLALLAM,,Klallam,,
B286,Makah,MAKAH,MAKAH,MAKAH,,Makah,,
B287,Haisla,HAISLA,0,HAISLA,,Haisla,,
B288,Kwakiutl,SOUTHERN KWAKIUTL,0,SOUTHERN KWAKIUTL,KWAKIUTL,Kwakiutl,,
B289,Tsimshim,TSIMSHIM,0,TSHIMSHIAN,TSIMSHIAN,Tsimshim,,
B290,Haida,HAIDA,0,,HAIDA,Haida,,
B291,Bella-Coola,BELLA-COOLA,BELLA-COOLA,,BELLA COOLA,Bella-Coola,,
B292,Tlingit,SOUTHERN TLINGIT,0,TLINGIT,,Tlingit,,
B293,Gitksan,GITKSAN,0,GITKSAN,GITKSAN,Gitksan,,
B294,Konaig,KONAIG,KONAIG,KONAIG,,Konaig,,
B295,Eyak,EYAK,EYAK,EYAK,,Eyak,,
B296,Kuskowagmut,KUSKOWAGMUT,KUSKOWAGAMIUT,KUSKOWAGAMIUT,KUSKOWAGMUT,Kuskowagmut,,
B297,Chugash,CHUGASH,0,CHUGASH,,Chugach,,
B298,Aleut,ALEUT,ALEUT,ALEUT,ALEUT,Aleut,,
B299,Nunivak,NUNIVAK,NUNIVAK,NUNIVAK,NUNIVAK,Nunivak,,
B315,Tenino,TENINO,TENINO,TENINO,,Yenino,,
B316,Umatilla,#N/A,#N/A,,,Umatilla,,
B317,Wenatchi,WENATCHI,0,WENATCHI,,Wenatchi,,
B318,Yakima,#N/A,#N/A,,,Yakima,,
B319,Wishram,WISHRAM,WISHRAM,WISHRAM,,Wishram,,
