soc_id,region,tdwg_code
Na34,Eastern Canada,72
Na29,Western Canada,71
Na19,Western Canada,71
Na35,Eastern Canada,72
Na30,Subarctic America,70
Na15,Subarctic America,70
Na8,Subarctic America,70
Na4,Western Canada,71
Na20,Subarctic America,70
Na1,Subarctic America,70
Ne7,Western Canada,71
Na38,North-Central U.S.A.,74
Na28,Western Canada,71
Na17,Subarctic America,70
Na27,Western Canada,71
Na26,Subarctic America,70
Nb35,Southwestern U.S.A.,76
Na44,Eastern Canada,72
Nb38,Southwestern U.S.A.,76
Na45,Middle Asia,32
Nb6,Northwestern U.S.A.,73
Nb31,Northwestern U.S.A.,73
Nh1,Mexico,79
Nh16,South-Central U.S.A.,77
Ne2,North-Central U.S.A.,74
Nh24,South-Central U.S.A.,77
Nh15,South-Central U.S.A.,77
Nh3,Southwestern U.S.A.,76
Nh17,Southwestern U.S.A.,76
Nb23,Western Canada,71
Na7,Eastern Canada,72
Nb3,Western Canada,71
Nb24,Northwestern U.S.A.,73
Nb11,Western Canada,71
Nc12,Southwestern U.S.A.,76
Nc13,Southwestern U.S.A.,76
Nc21,Southwestern U.S.A.,76
Nc5,Southwestern U.S.A.,76
Nc1,Southwestern U.S.A.,76
Nc22,Southwestern U.S.A.,76
Nc14,Southwestern U.S.A.,76
Nc24,Southwestern U.S.A.,76
Nb10,Western Canada,71
Nc3,Southwestern U.S.A.,76
Nb19,Northwestern U.S.A.,73
Nd18,Northwestern U.S.A.,73
Nb30,Northwestern U.S.A.,73
Nc8,Northwestern U.S.A.,73
Nc9,Northwestern U.S.A.,73
Nd17,Northwestern U.S.A.,73
Nd20,Northwestern U.S.A.,73
Nd1,Northwestern U.S.A.,73
Nd19,Northwestern U.S.A.,73
Nb28,Northwestern U.S.A.,73
Nb29,Northwestern U.S.A.,73
Ng12,Southeastern U.S.A.,78
Ng3,Southeastern U.S.A.,78
Ng7,Southeastern U.S.A.,78
Nb12,Western Canada,71
Ng8,Southeastern U.S.A.,78
Nb27,Western Canada,71
Nb37,Southwestern U.S.A.,76
Nc20,Southwestern U.S.A.,76
Nc7,Southwestern U.S.A.,76
Nb9,Western Canada,71
Nd14,Northwestern U.S.A.,73
Nb14,Western Canada,71
Nb26,Northwestern U.S.A.,73
Nd12,Northwestern U.S.A.,73
Nd13,Western Canada,71
Nb39,Southwestern U.S.A.,76
Nb16,Northwestern U.S.A.,73
Nd9,Western Canada,71
Nb15,Northwestern U.S.A.,73
Nb17,Northwestern U.S.A.,73
Nb25,Northwestern U.S.A.,73
Nd4,Northwestern U.S.A.,73
Nd11,Western Canada,71
Nb8,Western Canada,71
Nb13,Western Canada,71
Nc15,Southwestern U.S.A.,76
Nd10,Western Canada,71
Nb20,Northwestern U.S.A.,73
Nb2,Northwestern U.S.A.,73
Nd16,Northwestern U.S.A.,73
Ne9,Northwestern U.S.A.,73
Ne12,Western Canada,71
Ne13,Western Canada,71
Nc16,Southwestern U.S.A.,76
Ne5,Northwestern U.S.A.,73
Na36,Western Canada,71
Nc25,Southwestern U.S.A.,76
Ng6,Northeastern U.S.A.,75
Na31,Eastern Canada,72
Na39,Northeastern U.S.A.,75
Nd15,Western Canada,71
Ne1,Western Canada,71
Nd65,Southwestern U.S.A.,76
Nf9,Northeastern U.S.A.,75
Nf4,Northeastern U.S.A.,75
Na41,Eastern Canada,72
Nd67,Southwestern U.S.A.,76
Na32,Eastern Canada,72
Na5,Eastern Canada,72
Nd8,Western Canada,71
Na33,Western Canada,71
Nf1,Eastern Canada,72
Na40,Eastern Canada,72
Ne14,Western Canada,71
Ng4,Northeastern U.S.A.,75
Ne18,Western Canada,71
Ne19,North-Central U.S.A.,74
Na42,Northeastern U.S.A.,75
Na37,Eastern Canada,72
Nf13,Southeastern U.S.A.,78
Nb36,Southwestern U.S.A.,76
Nb4,Southwestern U.S.A.,76
Nb18,Northwestern U.S.A.,73
Ne11,Northwestern U.S.A.,73
Ng9,Southeastern U.S.A.,78
Ne4,Northwestern U.S.A.,73
Ne15,North-Central U.S.A.,74
Nf10,North-Central U.S.A.,74
Ne6,North-Central U.S.A.,74
Nf3,North-Central U.S.A.,74
